,HS,Avg,SR,50/I,6+4/BF,Class
41,102.0,29.11,67.71,0.15789473684210525,0.05198358413132695,NRS
42,96.0,28.57,73.84,0.17647058823529413,0.0947533281127643,RS
43,75.0,30.96,72.46,0.2777777777777778,0.0592823712948518,NRS
44,101.0,29.8,65.35,0.2,0.07017543859649122,NRS
45,78.0,28.66,78.61,0.125,0.06672760511882997,NRS
46,56.0,22.39,71.51,0.05882352941176471,0.07226890756302523,NRS
47,73.0,20.17,58.69,0.14634146341463414,0.048970901348474094,NRS
48,77.0,34.6,85.13,0.1875,0.06844919786096257,NRS
49,86.0,27.1,91.92,0.14705882352941174,0.1286549707602339,RS
50,68.0,15.36,101.58,0.038461538461538464,0.12962962962962962,NRS
51,107.0,36.19,72.58,0.18181818181818185,0.0936007640878701,RS
52,64.0,34.36,71.93,0.12121212121212124,0.057088487155090385,NRS
53,60.0,28.73,71.62,0.1176470588235294,0.07478427612655801,NRS
54,124.0,32.0,91.65,0.0,0.1133250311332503,NRS
55,108.0,21.64,53.84,0.11428571428571427,0.0548646671543526,NRS
56,94.0,21.05,104.22,0.08823529411764706,0.11353711790393012,NRS
57,102.0,30.52,68.15,0.13043478260869565,0.07475728155339806,NRS
58,75.0,20.47,64.44,0.1388888888888889,0.060185185185185175,NRS
59,100.0,45.93,82.02,0.2,0.08452380952380953,RS
60,69.0,19.6,84.06,0.0425531914893617,0.0943627450980392,NRS
61,112.0,27.4,59.41,0.07407407407407407,0.05030355594102342,NRS
62,51.0,19.26,98.34,0.023809523809523808,0.11561561561561562,NRS
63,118.0,43.46,91.57,0.1875,0.11376404494382025,RS
64,79.0,36.35,73.3,0.125,0.061684460260972726,NRS
65,83.0,30.7,79.43,0.25,0.10219922380336352,RS
66,66.0,24.16,80.0,0.15384615384615385,0.11258278145695363,NRS
67,74.0,19.8,79.41,0.04651162790697674,0.07219251336898395,NRS
68,73.0,28.63,65.14,0.030303030303030307,0.06467065868263472,NRS
69,92.0,23.95,65.3,0.07692307692307693,0.07187112763320942,NRS
70,68.0,14.25,53.21,0.03773584905660377,0.03734439834024896,NRS
71,91.0,17.03,78.37,0.09375,0.09049079754601227,NRS
72,69.0,15.81,110.48,0.02564102564102564,0.12008733624454147,NRS
73,84.0,31.86,69.37,0.3333333333333333,0.0899854862119013,NRS
74,81.0,24.83,57.45,0.15789473684210525,0.06169665809768636,NRS
75,92.0,29.92,85.33,0.13333333333333333,0.1079429735234216,RS
76,50.0,16.95,64.89,0.03448275862068965,0.07487520798668885,NRS
77,67.0,29.46,101.05,0.16666666666666666,0.09762532981530343,NRS
78,46.0,21.11,86.75,0.0,0.0684931506849315,NRS
79,114.0,28.53,70.66,0.07142857142857142,0.06857142857142857,NRS
80,64.0,24.4,55.28,0.1176470588235294,0.04682779456193353,NRS
81,46.0,11.53,89.17,0.0,0.10309278350515463,NRS
82,77.0,31.0,68.06,0.05,0.04590818363273453,NRS
83,45.0,14.69,74.12,0.0,0.05701754385964913,NRS
84,66.0,34.0,78.86,0.18181818181818185,0.07216494845360824,NRS
85,56.0,21.07,85.26,0.041666666666666664,0.07514450867052024,NRS
86,84.0,22.46,71.74,0.14285714285714285,0.06388206388206387,NRS
87,51.0,19.33,65.46,0.125,0.08577878103837472,NRS
88,54.0,17.06,70.13,0.13333333333333333,0.0958904109589041,NRS
89,55.0,12.6,59.43,0.047619047619047616,0.042452830188679236,NRS
90,29.0,12.94,58.85,0.0,0.05502392344497608,NRS
91,33.0,11.13,57.37,0.0,0.04918032786885247,NRS
92,30.0,12.68,70.26,0.0,0.043731778425655975,NRS
93,67.0,11.28,62.86,0.047619047619047616,0.08753315649867374,NRS
94,57.0,10.8,46.13,0.043478260869565216,0.054878048780487805,NRS
95,54.0,13.23,85.22,0.041666666666666664,0.0946969696969697,NRS
96,43.0,17.07,47.84,0.0,0.03017241379310345,NRS
97,63.0,42.0,73.68,0.08333333333333333,0.04912280701754386,NRS
98,37.0,12.29,62.95,0.0,0.0572289156626506,NRS
99,32.0,10.94,88.51,0.0,0.08085106382978724,NRS
100,33.0,22.33,67.0,0.0,0.04,NRS
101,74.0,19.9,85.77,0.1,0.11206896551724138,NRS
102,23.0,13.0,61.9,0.0,0.0380952380952381,NRS
103,49.0,18.2,74.89,0.0,0.06584362139917696,NRS
104,45.0,19.55,59.45,0.0,0.054054054054054064,NRS
105,69.0,15.81,78.02,0.07692307692307693,0.04932735426008968,NRS
106,47.0,11.53,58.44,0.0,0.05067567567567568,NRS
107,50.0,18.88,68.82,0.1,0.07692307692307693,NRS
108,45.0,22.42,116.29,0.0,0.11851851851851852,NRS
109,49.0,13.63,44.11,0.0,0.04411764705882353,NRS
110,78.0,18.62,56.65,0.09090909090909093,0.049429657794676805,NRS
111,32.0,9.86,49.66,0.0,0.053691275167785234,NRS
112,29.0,24.33,81.56,0.0,0.09497206703910614,NRS
113,24.0,11.5,48.59,0.0,0.04225352112676056,NRS
114,33.0,9.78,52.69,0.0,0.04230769230769231,NRS
115,48.0,21.66,52.2,0.0,0.03614457831325301,NRS
116,37.0,12.4,56.88,0.0,0.05504587155963303,NRS
117,43.0,11.09,97.6,0.0,0.112,NRS
118,25.0,8.92,55.23,0.0,0.047619047619047616,NRS
119,21.0,12.55,79.57,0.0,0.07042253521126761,NRS
120,22.0,11.3,47.67,0.0,0.029535864978902964,NRS
121,24.0,5.73,55.89,0.0,0.06666666666666668,NRS
122,24.0,14.0,50.25,0.0,0.04615384615384616,NRS
123,23.0,9.3,40.08,0.0,0.02155172413793104,NRS
124,34.0,11.37,55.15,0.0,0.060606060606060615,NRS
125,13.0,8.1,52.94,0.0,0.0457516339869281,NRS
126,35.0,13.33,89.88,0.0,0.12359550561797752,NRS
127,23.0,11.28,46.74,0.0,0.035502958579881665,NRS
128,15.0,7.77,65.42,0.0,0.04672897196261682,NRS
129,16.0,7.77,55.11,0.0,0.06299212598425198,NRS
130,12.0,6.9,36.5,0.0,0.021164021164021163,NRS
131,15.0,10.16,42.95,0.0,0.06338028169014084,NRS
132,15.0,4.66,40.28,0.0,0.03597122302158273,NRS
133,17.0,9.16,65.47,0.0,0.08333333333333333,NRS
134,11.0,6.62,37.85,0.0,0.03571428571428571,NRS
135,25.0,6.0,51.06,0.0,0.0425531914893617,NRS
136,24.0,9.4,59.49,0.0,0.06329113924050632,NRS
137,21.0,7.5,70.31,0.0,0.03125,NRS
138,15.0,5.37,56.57,0.0,0.06578947368421052,NRS
139,11.0,4.44,33.61,0.0,0.025210084033613446,NRS
140,13.0,4.25,33.33,0.0,0.029411764705882363,NRS
141,8.0,3.75,29.7,0.0,0.0198019801980198,NRS
142,14.0,7.25,49.15,0.0,0.0,NRS
143,13.0,4.83,37.66,0.0,0.025974025974025976,NRS
144,9.0,6.25,33.33,0.0,0.0,NRS
145,4.0,1.75,21.87,0.0,0.015625,NRS
146,3.0,1.25,13.88,0.0,0.0,NRS
147,126.0,35.47,96.92,0.15942028985507245,0.15351257588898526,RS
148,122.0,35.72,79.75,0.22,0.09335362760020294,RS
149,183.0,48.9,100.96,0.18604651162790692,0.12112869924294566,RS
150,88.0,37.18,69.31,0.25,0.06347607052896725,NRS
151,60.0,21.78,57.06,0.06779661016949153,0.04468412942989214,NRS
152,107.0,30.66,91.08,0.13513513513513514,0.1188118811881188,RS
153,88.0,26.03,100.24,0.07317073170731707,0.12274368231046932,RS
154,79.0,29.92,77.09,0.1176470588235294,0.08587786259541985,RS
155,142.0,31.79,80.65,0.1153846153846154,0.08562367864693446,RS
156,92.0,30.0,119.34,0.1111111111111111,0.16455696202531644,RS
157,53.0,23.46,65.66,0.07142857142857142,0.077502691065662,NRS
158,69.0,18.1,51.56,0.1,0.06077872744539412,NRS
159,100.0,20.15,77.05,0.1,0.07794117647058824,NRS
160,52.0,23.35,102.41,0.09090909090909093,0.13157894736842105,NRS
161,59.0,15.85,71.38,0.03125,0.08038585209003216,NRS
162,79.0,30.85,71.64,0.2222222222222222,0.10945273631840796,RS
163,103.0,25.56,75.88,0.0625,0.11688311688311688,NRS
