,Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF,Class
70,P Utseya (ZIM),2005-2009,5,53,9.679245283018867,68,14.25,53.21,0.0,0.03773584905660377,0.03734439834024896,NRS
71,TJ Friend (ZIM),2001-2004,4,32,15.96875,91,17.03,78.37,0.0,0.09375,0.09049079754601227,NRS
72,NLTC Perera (SL),2009-2013,5,39,12.974358974358973,69,15.81,110.48,0.0,0.02564102564102564,0.12008733624454147,NRS
73,BG Rogers (ZIM),2002-2005,4,15,31.86666666666667,84,31.86,69.37,0.0,0.3333333333333333,0.0899854862119013,NRS
74,Taufeeq Umar (PAK),2001-2005,5,19,23.52631578947368,81,24.83,57.45,0.0,0.15789473684210525,0.06169665809768636,NRS
75,AN Kervezee (NL),2010-2012,3,15,27.93333333333333,92,29.92,85.33,0.0,0.13333333333333333,0.1079429735234216,RS
76,Farhad Reza (BDESH),2006-2008,3,29,13.448275862068966,50,16.95,64.89,0.0,0.03448275862068965,0.07487520798668885,NRS
77,DA Miller (SA),2010-2013,4,18,21.277777777777782,67,29.46,101.05,0.0,0.16666666666666666,0.09762532981530343,NRS
78,SPD Smith (AUS),2010-2013,4,22,17.272727272727273,46,21.11,86.75,0.0,0.0,0.0684931506849315,NRS
79,Noor Ali Zadran (AFG),2009-2012,4,14,26.5,114,28.53,70.66,0.07142857142857142,0.07142857142857142,0.06857142857142857,NRS
80,Asghar Stanikzai (AFG),2009-2011,3,17,21.529411764705888,64,24.4,55.28,0.0,0.1176470588235294,0.04682779456193353,NRS
81,Harbhajan Singh (INDIA),2001-2003,3,39,8.871794871794874,46,11.53,89.17,0.0,0.0,0.10309278350515463,NRS
82,SR Watson (AUS),2002-2005,4,20,17.05,77,31.0,68.06,0.0,0.05,0.04590818363273453,NRS
83,SCJ Broad (ENG),2006-2010,5,37,9.135135135135137,45,14.69,74.12,0.0,0.0,0.05701754385964913,NRS
84,T Mishra (KENYA),2007-2010,4,11,27.818181818181817,66,34.0,78.86,0.0,0.18181818181818185,0.07216494845360824,NRS
85,LE Plunkett (ENG),2005-2007,3,24,12.291666666666664,56,21.07,85.26,0.0,0.04166666666666666,0.07514450867052024,NRS
86,RD Berrington (SCOT),2008-2010,3,14,20.857142857142858,84,22.46,71.74,0.0,0.14285714285714285,0.06388206388206387,NRS
87,GC Wilson (IRE),2007-2009,3,16,18.125,51,19.33,65.46,0.0,0.125,0.08577878103837472,NRS
88,ADS Fletcher (WI),2008-2010,3,15,17.066666666666666,54,17.06,70.13,0.0,0.13333333333333333,0.0958904109589041,NRS
89,Alok Kapali (BDESH),2004-2006,3,21,12.0,55,12.6,59.43,0.0,0.047619047619047616,0.042452830188679236,NRS
