,Player,Span,Years,Inns,NO/I,R/I,Avrg,SR,100/I,50/I,6+4/BF,Class
199,CJ Anderson (NZ),2013-2016,3,40,0.125,26.175,29.91,111.02,0.025,0.1,0.143160127,NRS
209,Imran Nazir (PAK),2004-2007,3,17,0.0,26.11764706,26.11,98.88,0.058823529000000006,0.058823529000000006,0.15144766099999998,NRS
34,HDRL Thirimanne (SL),2010-2013,3,38,0.10526315800000001,26.05263158,29.11,67.71,0.026315789,0.15789473699999998,0.051983584000000006,NRS
36,SC Williams (ZIM),2006-2009,3,36,0.166666667,25.80555556,30.96,72.46,0.0,0.27777777800000003,0.05928237099999999,NRS
51,JP Duminy (SA),2004-2008,4,24,0.291666667,25.75,36.35,73.3,0.0,0.125,0.06168446,RS
212,DS Smith (WI),2004-2007,3,14,0.14285714300000002,25.57142857,29.83,65.8,0.0,0.071428571,0.073529412,NRS
149,G Gambhir (INDIA),2003-2006,3,16,0.0,25.5625,25.56,75.88,0.0625,0.0625,0.116883117,NRS
204,AM Rahane (INDIA),2011-2014,3,27,0.0,25.44444444,25.44,72.16,0.0,0.185185185,0.074579832,NRS
18,LD Chandimal (SL),2010-2013,3,61,0.163934426,25.39344262,30.37,73.2,0.032786885,0.14754098400000001,0.064744802,NRS
143,GC Wilson (IRE),2007-2010,3,24,0.083333333,25.29166667,27.59,72.26,0.041666667000000004,0.166666667,0.08452381,NRS
31,DM Bravo (WI),2009-2013,4,44,0.13636363599999998,24.95454545,28.89,67.69,0.0,0.159090909,0.069667078,NRS
41,AD Mathews (SL),2008-2011,3,32,0.28125,24.875,34.6,85.13,0.0,0.1875,0.068449198,RS
127,Abdul Razzaq (PAK),2001-2004,3,93,0.268817204,24.72043011,33.8,86.49,0.021505376,0.10752688199999999,0.089541008,RS
39,TWM Latham (NZ),2012-2016,4,34,0.147058824,24.64705882,28.89,73.83,0.029411765,0.117647059,0.07753304,NRS
69,R Gunasekera (CAN),2011-2014,3,11,0.0,24.36363636,24.36,69.25,0.0,0.363636364,0.07751938,NRS
21,Raqibul Hasan (BDESH),2008-2011,3,54,0.12962963,24.22222222,27.82,61.32,0.0,0.148148148,0.051570557999999996,NRS
146,Fawad Alam (PAK),2007-2010,3,20,0.4,24.0,40.0,73.05,0.0,0.15,0.04109589,RS
205,AD Russell (WI),2011-2014,3,28,0.214285714,23.78571429,30.27,119.78,0.0,0.107142857,0.165467626,RS
139,KD Karthik (INDIA),2006-2010,4,34,0.20588235300000002,23.76470588,29.92,77.09,0.0,0.117647059,0.08587786300000001,RS
195,RS Bopara (ENG),2007-2011,4,47,0.17021276600000002,23.59574468,28.43,71.82,0.0,0.08510638300000001,0.06930051799999999,NRS
268,SR Patel (ENG),2008-2011,3,13,0.153846154,23.53846154,27.81,91.89,0.0,0.076923077,0.087087087,NRS
60,Taufeeq Umar (PAK),2001-2005,4,19,0.052631579000000005,23.52631579,24.83,57.45,0.0,0.15789473699999998,0.061696658,NRS
211,Samiullah Shenwari (AFG),2009-2012,3,16,0.125,23.5,26.85,62.98,0.0,0.125,0.060301508,NRS
9,Mohammad Ashraful (Asia/BDESH),2004-2008,4,88,0.102272727,23.48863636,26.16,73.97,0.022727273,0.125,0.081245526,NRS
255,L Vincent (NZ),2002-2005,3,52,0.134615385,23.42307692,27.06,66.01,0.019230768999999998,0.115384615,0.066666667,NRS
137,Aftab Ahmed (BDESH),2006-2010,4,43,0.046511628,23.162790700000002,24.29,83.48,0.0,0.162790698,0.104777871,NRS
25,V Sibanda (Afr/ZIM),2003-2007,4,53,0.037735849,22.98113208,23.88,61.95,0.018867925,0.150943396,0.07731434400000001,NRS
201,JP Faulkner (AUS),2013-2016,3,38,0.42105263200000004,22.97368421,39.68,111.77,0.026315789,0.10526315800000001,0.131882202,RS
45,Mahmudullah (BDESH),2007-2010,3,33,0.333333333,22.90909091,34.36,71.93,0.0,0.12121212099999999,0.057088487,RS
16,E Chigumbura (Afr/ZIM),2006-2010,4,78,0.08974359,22.70512821,24.94,81.5,0.0,0.128205128,0.08697653,NRS
53,Mominul Haque (BDESH),2012-2015,3,24,0.041666667000000004,22.625,23.6,74.58,0.0,0.125,0.082417582,NRS
72,JH Davey (SCOT),2010-2014,4,10,0.1,22.6,25.11,63.12,0.0,0.1,0.06145251400000001,NRS
130,Shahid Afridi (PAK),2001-2005,4,71,0.056338028,22.5915493,23.94,120.23,0.014084507,0.14084507,0.170914543,NRS
