,Player,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF,Class
62,RC Davies (ENG19),15,0.06666666666666668,15.266666666666667,16.35,59.17,0.0,0.06666666666666668,0.04651162790697674,NRS
63,Abhishek Sharma (Ind19),12,0.16666666666666666,18.75,22.5,71.2,0.0,0.0,0.06962025316455696,NRS
64,EWJ Stewart (WI19),10,0.1,21.2,23.55,64.83,0.0,0.1,0.0581039755351682,NRS
65,MK Lomror (Ind19),10,0.3,20.9,29.85,87.08,0.0,0.0,0.07916666666666666,NRS
66,T Banton (ENG19),10,0.0,20.4,20.4,77.56,0.0,0.2,0.09505703422053233,RS
67,MDE Holden (ENG19),15,0.0,13.533333333333333,13.53,57.5,0.0,0.06666666666666668,0.056657223796034,NRS
68,WG Jacks (ENG19),11,0.09090909090909093,18.363636363636363,20.2,92.23,0.0,0.09090909090909093,0.1232876712328767,RS
69,JA Tattersall (ENG19),10,0.0,20.0,20.0,68.96,0.0,0.1,0.06896551724137931,NRS
70,Ikram Faizi (AFG19),11,0.3636363636363637,17.636363636363637,27.71,66.21,0.09090909090909093,0.0,0.054607508532423216,NRS
71,EG Barnard (ENG19),11,0.09090909090909093,17.0,18.7,66.78,0.0,0.09090909090909093,0.06785714285714285,NRS
72,Ishan Kishan (Ind19),12,0.0,15.5,15.5,80.51,0.0,0.08333333333333333,0.11688311688311688,NRS
73,S Snyder (Zim19),10,0.0,18.4,18.4,63.44,0.0,0.2,0.0896551724137931,NRS
74,JL Finnie (NZ19),11,0.09090909090909093,16.181818181818183,17.8,66.41,0.0,0.0,0.0708955223880597,NRS
75,T de Zorzi (SA19),15,0.06666666666666668,11.0,11.78,46.34,0.0,0.0,0.033707865168539325,NRS
