,id,Player,Span,Years,Inns,R/I,HS,Avrg,SR,100/I,50/I,6+4/BF,Class
50,50,Mashrafe Mortaza (Asia/BDESH),2004-2007,3,42,15.5952381,51,19.26,98.34,0,0.023809524,0.115615616,NRS
51,51,JP Duminy (SA),2004-2008,4,24,25.75,79,36.35,73.3,0,0.125,0.06168446,RS
52,52,D Ramdin (WI),2005-2009,4,43,13.81395349,74,19.8,79.41,0,0.046511628,0.072192513,NRS
53,53,Mominul Haque (BDESH),2012-2015,3,24,22.625,60,23.6,74.58,0,0.125,0.082417582,RS
54,54,RR Patel (KENYA),2009-2013,4,26,20.26923077,92,23.95,65.3,0,0.076923077,0.071871128,NRS
55,55,P Utseya (ZIM),2005-2009,4,53,9.679245283,68,14.25,53.21,0,0.037735849,0.037344398,NRS
56,56,TJ Friend (ZIM),2001-2004,3,32,15.96875,91,17.03,78.37,0,0.09375,0.090490798,NRS
57,57,NLTC Perera (SL),2009-2013,4,39,12.97435897,69,15.81,110.48,0,0.025641026,0.120087336,NRS
58,58,Javed Ahmadi (AFG),2012-2015,3,18,27.16666667,81,27.16,88.42,0,0.277777778,0.122965642,RS
59,59,BG Rogers (ZIM),2002-2005,3,15,31.86666667,84,31.86,69.37,0,0.333333333,0.089985486,NRS
60,60,Taufeeq Umar (PAK),2001-2005,4,19,23.52631579,81,24.83,57.45,0,0.157894737,0.061696658,NRS
61,61,Rahmat Shah (AFG),2013-2016,3,13,30.92307692,100,33.5,65.79,0.076923077,0.076923077,0.049099836,NRS
62,62,DA Miller (SA),2010-2013,3,18,21.27777778,67,29.46,101.05,0,0.166666667,0.09762533,RS
63,63,SPD Smith (AUS),2010-2013,3,22,17.27272727,46,21.11,86.75,0,0,0.068493151,NRS
64,64,Noor Ali Zadran (AFG),2009-2012,3,14,26.5,114,28.53,70.66,0.071428571,0.071428571,0.068571429,NRS
65,65,SR Watson (AUS),2002-2005,3,20,17.05,77,31,68.06,0,0.05,0.045908184,NRS
66,66,SCJ Broad (ENG),2006-2010,4,37,9.135135135,45,14.69,74.12,0,0,0.057017544,NRS
67,67,T Mishra (KENYA),2007-2010,3,11,27.81818182,66,34,78.86,0,0.181818182,0.072164948,RS
68,68,BA Stokes (ENG),2011-2014,3,19,14.84210526,70,15.66,75.8,0,0.052631579,0.069892473,NRS
69,69,R Gunasekera (CAN),2011-2014,3,11,24.36363636,72,24.36,69.25,0,0.363636364,0.07751938,NRS
70,70,Tapash Baisya (BDESH),2003-2006,3,30,8.166666667,33,11.13,57.37,0,0,0.049180328,NRS
71,71,NS Poonia (SCOT),2006-2009,3,21,11.28571429,67,11.28,62.86,0,0.047619048,0.087533156,NRS
72,72,JH Davey (SCOT),2010-2014,4,10,22.6,64,25.11,63.12,0,0.1,0.061452514,NRS
73,73,P Kumar (INDIA),2007-2010,3,24,9.375,54,13.23,85.22,0,0.041666667,0.09469697,NRS
74,74,DLS van Bunge (NL),2003-2006,3,9,24.11111111,62,24.11,61.47,0,0.111111111,0.067988669,NRS
76,76,HS Baidwan (CAN),2008-2011,3,16,12.5625,33,22.33,67,0,0,0.04,NRS
77,77,CK Coventry (ZIM),2003-2006,3,10,19.9,74,19.9,85.77,0,0.1,0.112068966,RS
79,79,WD Parnell (SA),2009-2012,3,13,14,49,18.2,74.89,0,0,0.065843621,NRS
80,80,RW Chakabva (ZIM),2008-2011,3,10,17.6,45,19.55,59.45,0,0,0.054054054,NRS
81,81,KS Lokuarachchi (SL),2003-2006,3,13,13.38461538,69,15.81,78.02,0,0.076923077,0.049327354,NRS
82,82,ML Nkala (ZIM),2001-2005,4,19,9.105263158,47,11.53,58.44,0,0,0.050675676,NRS
83,83,Umar Amin (PAK),2010-2013,3,9,19.22222222,59,21.62,77.57,0,0.111111111,0.076233184,RS
84,84,Usman Limbada (CAN),2010-2013,3,10,17,50,18.88,68.82,0,0.1,0.076923077,NRS
85,85,CS MacLeod (SCOT),2009-2012,3,7,24.14285714,99,28.16,72.53,0,0.142857143,0.064377682,NRS
86,86,Gulbadin Naib (AFG),2011-2015,4,12,12.66666667,31,15.2,90.47,0,0,0.113095238,NRS
87,87,CS Baugh (WI),2003-2006,3,11,13.27272727,29,24.33,81.56,0,0,0.094972067,NRS
90,90,AF Milne (NZ),2012-2016,4,12,10.83333333,36,21.66,98.48,0,0,0.083333333,NRS
91,91,MA Starc (AUS),2010-2013,3,7,17.42857143,52,40.66,100.82,0,0.142857143,0.115702479,RS
93,93,Hamza Tariq (CAN),2011-2014,3,7,16.57142857,71,16.57,73.88,0,0.142857143,0.108280255,NRS
94,94,L Balaji (INDIA),2002-2005,3,15,7.533333333,21,12.55,79.57,0,0,0.070422535,NRS
95,95,GH Dockrell (IRE),2013-2016,3,15,7.533333333,25,16.14,67.26,0,0,0.047619048,NRS
97,97,RO Hinds (WI),2001-2004,3,9,11.22222222,18,16.83,59.41,0,0,0.064705882,NRS
100,100,Mirwais Ashraf (AFG),2009-2012,3,8,10.375,17,11.85,64.84,0,0,0.0625,NRS
101,101,SM Sharif (SCOT),2011-2015,4,8,10.125,26,20.25,75,0,0,0.074074074,NRS
112,112,Joginder Sharma (INDIA),2004-2007,3,3,11.66666667,29,35,116.66,0,0,0.166666667,NRS
114,114,Sarfraz Ahmed (PAK),2007-2010,3,3,10.66666667,19,10.66,54.23,0,0,0.016949153,NRS
117,117,DJG Sammy (WI),2004-2007,3,1,18,18,0,138.46,0,0,0.076923077,NRS
124,124,CH Gayle (WI),2001-2004,3,82,42.65853659,153,45.42,79.91,0.109756098,0.256097561,0.107836418,RS
125,125,M Kaif (INDIA),2002-2005,3,90,27.01111111,111,35.23,73.68,0.022222222,0.155555556,0.065474386,RS
126,126,MJ Clarke (AUS),2003-2006,3,71,32.71830986,105,44.67,86.13,0.028169014,0.225352113,0.083796811,RS
127,127,Abdul Razzaq (PAK),2001-2004,3,93,24.72043011,112,33.8,86.49,0.021505376,0.107526882,0.089541008,RS
128,128,Ahmed Shehzad (PAK),2013-2016,3,56,36.30357143,124,36.3,74.06,0.071428571,0.232142857,0.080874317,RS
129,129,LRPL Taylor (NZ),2006-2009,3,54,32.03703704,128,39.31,83.69,0.055555556,0.185185185,0.095307209,RS
130,130,Shahid Afridi (PAK),2001-2005,4,71,22.5915493,108,23.94,120.23,0.014084507,0.14084507,0.170914543,RS
131,131,JC Buttler (ENG),2012-2015,3,52,28.21153846,129,32.6,113.89,0.038461538,0.134615385,0.12810559,RS
132,132,IR Bell (ENG),2004-2007,3,40,34.4,88,37.18,69.31,0,0.25,0.063476071,NRS
133,133,Imrul Kayes (BDESH),2008-2011,3,48,27.39583333,101,27.97,65.16,0.020833333,0.1875,0.07185332,NRS
134,134,JA Rudolph (Afr/SA),2003-2006,3,39,30.1025641,81,35.57,68.05,0,0.179487179,0.066086957,NRS
135,135,MR Marsh (AUS),2013-2016,3,38,30.34210526,102,37.19,92.38,0.026315789,0.210526316,0.104166667,RS
136,136,WTS Porterfield (IRE),2006-2009,3,37,31.08108108,112,33.82,65.86,0.108108108,0.108108108,0.068155785,NRS
137,137,Aftab Ahmed (BDESH),2006-2010,4,43,23.1627907,92,24.29,83.48,0,0.162790698,0.104777871,RS
138,138,T Taibu (Afr/ZIM),2004-2008,4,37,26.54054054,107,28.88,68.76,0.027027027,0.135135135,0.05952381,NRS
139,139,KD Karthik (INDIA),2006-2010,4,34,23.76470588,79,29.92,77.09,0,0.117647059,0.085877863,RS
140,140,Mohammad Shahzad (AFG),2009-2012,3,21,35.38095238,118,37.15,90.06,0.142857143,0.142857143,0.115151515,RS
141,141,MW Machan (SCOT),2013-2016,3,22,33.36363636,114,33.36,77.1,0.045454545,0.136363636,0.072478992,RS
142,142,Naeem Islam (BDESH),2008-2011,3,41,16.36585366,73,24.85,64.08,0,0.048780488,0.063037249,NRS
143,143,GC Wilson (IRE),2007-2010,3,24,25.29166667,113,27.59,72.26,0.041666667,0.166666667,0.08452381,NRS
144,144,MA Ouma (KENYA),2004-2007,3,31,19.38709677,58,20.03,59.74,0,0.096774194,0.070576541,NRS
145,145,JO Holder (WI),2013-2016,3,33,16.21212121,57,22.29,93.69,0,0.060606061,0.112084063,RS
146,146,Fawad Alam (PAK),2007-2010,3,20,24,64,40,73.05,0,0.15,0.04109589,RS
147,147,LJ Wright (ENG),2007-2010,3,22,21.22727273,52,23.35,102.41,0,0.090909091,0.131578947,RS
148,148,Asghar Stanikzai (AFG),2009-2012,3,21,22.0952381,66,25.77,56.44,0,0.142857143,0.0486618,NRS
149,149,G Gambhir (INDIA),2003-2006,3,16,25.5625,103,25.56,75.88,0.0625,0.0625,0.116883117,RS
150,150,Harbhajan Singh (INDIA),2001-2005,4,44,9.068181818,41,12.09,78.69,0,0,0.08678501,NRS
151,151,RD Berrington (SCOT),2008-2011,3,18,21.5,84,22.76,81.3,0,0.166666667,0.079831933,RS
152,152,Alok Kapali (BDESH),2005-2008,3,20,17.8,115,18.73,78.24,0.05,0.05,0.079120879,RS
153,153,A Bagai (CAN),2003-2007,4,19,18.73684211,64,22.25,55.53,0,0.157894737,0.060842434,NRS
154,154,DL Vettori (NZ),2001-2004,3,44,7.75,30,11.36,69.73,0,0,0.051124744,NRS
155,155,TT Bresnan (ENG),2006-2009,3,14,18.07142857,80,31.62,95.47,0,0.071428571,0.113207547,RS
156,156,CO Obuya (KENYA),2002-2006,4,17,14.82352941,45,15.75,58.19,0,0,0.03926097,NRS
157,157,LMP Simmons (WI),2006-2009,3,14,17.71428571,70,20.66,57.8,0,0.142857143,0.065268065,NRS
158,158,CL White (AUS),2005-2008,3,12,17.08333333,45,25.62,112.63,0,0,0.10989011,NRS
159,159,AD Poynter (IRE),2008-2011,3,12,16.66666667,78,22.22,67.34,0,0.166666667,0.067340067,NRS
