,id,Player,Span,Years,Inns,R/I,HS,Avrg,SR,100/I,50/I,6+4/BF,Class
83,83,SCJ Broad (ENG),2006-2010,5,37,9.135135135,45,14.69,74.12,0.0,0.0,0.057017544,NRS
84,84,T Mishra (KENYA),2007-2010,4,11,27.81818182,66,34.0,78.86,0.0,0.181818182,0.07216494799999999,NRS
85,85,LE Plunkett (ENG),2005-2007,3,24,12.29166667,56,21.07,85.26,0.0,0.041666667000000004,0.075144509,NRS
86,86,RD Berrington (SCOT),2008-2010,3,14,20.85714286,84,22.46,71.74,0.0,0.14285714300000002,0.063882064,NRS
87,87,GC Wilson (IRE),2007-2009,3,16,18.125,51,19.33,65.46,0.0,0.125,0.085778781,NRS
88,88,ADS Fletcher (WI),2008-2010,3,15,17.06666667,54,17.06,70.13,0.0,0.133333333,0.095890411,NRS
89,89,Alok Kapali (BDESH),2004-2006,3,21,12.0,55,12.6,59.43,0.0,0.047619048,0.04245283,NRS
90,90,CO Obuya (KENYA),2001-2003,3,22,11.18181818,29,12.94,58.85,0.0,0.0,0.055023922999999995,NRS
91,91,Tapash Baisya (BDESH),2003-2006,4,30,8.166666667000001,33,11.13,57.37,0.0,0.0,0.049180327999999995,NRS
92,92,DL Vettori (NZ),2001-2003,3,31,7.7741935479999995,30,12.68,70.26,0.0,0.0,0.043731778,NRS
93,93,NS Poonia (SCOT),2006-2009,4,21,11.28571429,67,11.28,62.86,0.0,0.047619048,0.087533156,NRS
94,94,DO Obuya (KENYA),2001-2003,3,23,9.869565217,57,10.8,46.13,0.0,0.043478261,0.054878049000000005,NRS
95,95,P Kumar (INDIA),2007-2010,4,24,9.375,54,13.23,85.22,0.0,0.041666667000000004,0.09469697,NRS
96,96,Manjural Islam Rana (BDESH),2004-2006,3,17,13.05882353,43,17.07,47.84,0.0,0.0,0.030172413999999998,NRS
97,97,Fawad Alam (PAK),2007-2009,3,12,17.5,63,42.0,73.68,0.0,0.083333333,0.049122807000000004,NRS
98,98,DC Thomas (WI),2011-2013,3,18,11.61111111,37,12.29,62.95,0.0,0.0,0.057228916,NRS
99,99,TG Southee (NZ),2008-2012,5,31,6.709677419,32,10.94,88.51,0.0,0.0,0.080851064,NRS
100,100,HS Baidwan (CAN),2008-2011,4,16,12.5625,33,22.33,67.0,0.0,0.0,0.04,NRS
101,101,CK Coventry (ZIM),2003-2006,4,10,19.9,74,19.9,85.77,0.0,0.1,0.11206896599999999,NRS
102,102,Mohammad Sami (PAK),2001-2004,4,33,5.909090909,23,13.0,61.9,0.0,0.0,0.038095238,NRS
103,103,WD Parnell (SA),2009-2012,4,13,14.0,49,18.2,74.89,0.0,0.0,0.06584362099999999,NRS
104,104,RW Chakabva (ZIM),2008-2011,4,10,17.6,45,19.55,59.45,0.0,0.0,0.054054054000000004,NRS
105,105,KS Lokuarachchi (SL),2003-2006,4,13,13.38461538,69,15.81,78.02,0.0,0.076923077,0.049327354000000004,NRS
106,106,ML Nkala (ZIM),2001-2005,5,19,9.105263158,47,11.53,58.44,0.0,0.0,0.050675675999999996,NRS
107,107,Usman Limbada (CAN),2010-2013,4,10,17.0,50,18.88,68.82,0.0,0.1,0.076923077,NRS
108,108,CL White (AUS),2005-2007,3,10,15.7,45,22.42,116.29,0.0,0.0,0.118518519,NRS
109,109,MA Ouma (KENYA),2004-2006,3,11,13.63636364,49,13.63,44.11,0.0,0.0,0.044117647,NRS
110,110,AD Poynter (IRE),2008-2010,3,11,13.54545455,78,18.62,56.65,0.0,0.090909091,0.049429658,NRS
111,111,Tushar Imran (BDESH),2005-2007,3,15,9.866666667,32,9.86,49.66,0.0,0.0,0.053691275,NRS
112,112,CS Baugh (WI),2003-2006,4,11,13.27272727,29,24.33,81.56,0.0,0.0,0.094972067,NRS
113,113,KAJ Roach (WI),2008-2012,5,25,5.52,24,11.5,48.59,0.0,0.0,0.042253520999999995,NRS
114,114,T Mupariwa (ZIM),2006-2009,4,21,6.523809524,33,9.78,52.69,0.0,0.0,0.042307692,NRS
115,115,RJ Trott (BMUDA),2007-2009,3,10,13.0,48,21.66,52.2,0.0,0.0,0.036144578,NRS
116,116,A Maregwede (ZIM),2003-2005,3,11,11.27272727,37,12.4,56.88,0.0,0.0,0.055045872,NRS
