Player,Span,Mat,Inns,NO,Runs,R/I,HS,Ave,BF,SR,100,50,0,4s,6s
EMDY Munaweera (SL),2017-2017,2,2,0,15,7.5,11,7.50,29,51.72,0,0,0,2,0,
Taskin Ahmed (BDESH),2017-2017,6,3,2,15,5.0,10,15.00,26,57.69,0,0,0,1,0,
LD Madushanka (SL),2017-2017,4,4,1,14,3.5,7,4.66,26,53.84,0,0,1,2,0,
WP Masakadza (ZIM),2015-2015,10,5,0,14,2.8,10,2.80,43,32.55,0,0,2,0,0,
Gurkeerat Singh (INDIA),2016-2016,3,3,1,13,4.333333333333333,8,6.50,13,100.00,0,0,0,2,0,
Yasir Shah (PAK),2015-2015,1,1,0,13,13.0,13,13.00,23,56.52,0,0,0,1,0,
R Dhawan (INDIA),2016-2016,3,2,1,12,6.0,9,12.00,13,92.30,0,0,0,1,0,
Junaid Khan (PAK),2013-2017,29,10,5,12,1.2,5,2.40,15,80.00,0,0,3,1,0,
J Blackwood (WI),2015-2015,2,2,0,11,5.5,9,5.50,23,47.82,0,0,0,1,0,
JJ Bumrah (INDIA),2016-2017,30,5,2,11,2.2,10,3.66,31,35.48,0,0,2,2,0,
SC Kuggeleijn (NZ),2017-2017,2,1,1,11,11.0,11,-,6,183.33,0,0,0,1,0,
PADLR Sandakan (SL),2016-2017,10,6,2,11,1.8333333333333333,5,2.75,36,30.55,0,0,1,0,0,
ML Cummins (WI),2014-2017,11,3,1,10,3.3333333333333335,5,5.00,27,37.03,0,0,0,1,0,
LA Dawson (ENG),2016-2016,1,1,0,10,10.0,10,10.00,13,76.92,0,0,0,0,0,
AC Agar (AUS),2017-2017,2,2,1,9,4.5,9,9.00,7,128.57,0,0,1,1,0,
SM Boland (AUS),2016-2016,14,4,1,9,2.25,4,3.00,22,40.90,0,0,1,0,0,
Shabir Noori (AFG),2016-2016,1,1,0,9,9.0,9,9.00,24,37.50,0,0,0,1,0,
Iftikhar Ahmed (PAK),2015-2015,2,2,0,8,4.0,5,4.00,31,25.80,0,0,0,1,0,
V Permaul (WI),2017-2017,1,1,0,8,8.0,8,8.00,5,160.00,0,0,0,0,0,
Rahat Ali (PAK),2015-2016,13,6,3,8,1.3333333333333333,6,2.66,37,21.62,0,0,2,0,0,
ST Gabriel (WI),2016-2017,13,9,4,7,0.7777777777777778,2,1.40,26,26.92,0,0,2,0,0,
AK Perera (SL),2014-2016,2,1,0,7,7.0,7,7.00,16,43.75,0,0,0,0,0,
MA Aponso (SL),2016-2017,6,5,4,6,1.2,2,6.00,12,50.00,0,0,0,0,0,
