,Player,Span,Years,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF,Class
61,Rahmat Shah (AFG),2013-2016,3,13,0.07692307692307693,30.923076923076927,33.50,65.79,0.07692307692307693,0.07692307692307693,0.049099836333878884,NA
62,DA Miller (SA),2010-2013,3,18,0.2777777777777778,21.277777777777782,29.46,101.05,0.0,0.16666666666666666,0.09762532981530343,NA
63,SPD Smith (AUS),2010-2013,3,22,0.18181818181818185,17.272727272727273,21.11,86.75,0.0,0.0,0.0684931506849315,NA
64,Noor Ali Zadran (AFG),2009-2012,3,14,0.07142857142857142,26.5,28.53,70.66,0.07142857142857142,0.07142857142857142,0.06857142857142857,NA
65,SR Watson (AUS),2002-2005,3,20,0.45,17.05,31.00,68.06,0.0,0.05,0.04590818363273453,NA
66,SCJ Broad (ENG),2006-2010,4,37,0.3783783783783784,9.135135135135137,14.69,74.12,0.0,0.0,0.05701754385964913,NA
67,T Mishra (KENYA),2007-2010,3,11,0.18181818181818185,27.818181818181817,34.00,78.86,0.0,0.18181818181818185,0.07216494845360824,NA
68,BA Stokes (ENG),2011-2014,3,19,0.05263157894736842,14.842105263157894,15.66,75.8,0.0,0.05263157894736842,0.06989247311827956,NA
69,R Gunasekera (CAN),2011-2014,3,11,0.0,24.363636363636363,24.36,69.25,0.0,0.3636363636363637,0.07751937984496124,NA
70,Tapash Baisya (BDESH),2003-2006,3,30,0.26666666666666666,8.166666666666666,11.13,57.37,0.0,0.0,0.049180327868852465,NA
71,NS Poonia (SCOT),2006-2009,3,21,0.0,11.285714285714285,11.28,62.86,0.0,0.047619047619047616,0.08753315649867374,NA
72,JH Davey (SCOT),2010-2014,4,10,0.1,22.6,25.11,63.12,0.0,0.1,0.06145251396648045,NA
73,P Kumar (INDIA),2007-2010,3,24,0.2916666666666667,9.375,13.23,85.22,0.0,0.04166666666666666,0.0946969696969697,NA
74,DLS van Bunge (NL),2003-2006,3,9,0.0,24.11111111111111,24.11,61.47,0.0,0.1111111111111111,0.0679886685552408,NA
75,TG Southee (NZ),2008-2012,4,31,0.3870967741935484,6.709677419354839,10.94,88.51,0.0,0.0,0.08085106382978724,NA
76,HS Baidwan (CAN),2008-2011,3,16,0.4375,12.5625,22.33,67.0,0.0,0.0,0.04,NA
77,CK Coventry (ZIM),2003-2006,3,10,0.0,19.9,19.90,85.77,0.0,0.1,0.11206896551724138,NA
78,Mohammad Sami (PAK),2001-2004,3,33,0.5454545454545454,5.909090909090909,13.00,61.9,0.0,0.0,0.0380952380952381,NA
79,WD Parnell (SA),2009-2012,3,13,0.2307692307692308,14.0,18.20,74.89,0.0,0.0,0.06584362139917696,NA
80,RW Chakabva (ZIM),2008-2011,3,10,0.1,17.6,19.55,59.45,0.0,0.0,0.054054054054054064,NA
81,KS Lokuarachchi (SL),2003-2006,3,13,0.15384615384615385,13.384615384615385,15.81,78.02,0.0,0.07692307692307693,0.04932735426008968,NA
82,ML Nkala (ZIM),2001-2005,4,19,0.21052631578947367,9.105263157894736,11.53,58.44,0.0,0.0,0.05067567567567568,NA
83,Umar Amin (PAK),2010-2013,3,9,0.1111111111111111,19.222222222222218,21.62,77.57,0.0,0.1111111111111111,0.07623318385650224,NA
84,Usman Limbada (CAN),2010-2013,3,10,0.1,17.0,18.88,68.82,0.0,0.1,0.07692307692307693,NA
85,CS MacLeod (SCOT),2009-2012,3,7,0.14285714285714285,24.142857142857146,28.16,72.53,0.0,0.14285714285714285,0.06437768240343347,NA
86,Gulbadin Naib (AFG),2011-2015,4,12,0.16666666666666666,12.666666666666664,15.20,90.47,0.0,0.0,0.1130952380952381,NA
87,CS Baugh (WI),2003-2006,3,11,0.4545454545454545,13.272727272727273,24.33,81.56,0.0,0.0,0.09497206703910614,NA
88,KAJ Roach (WI),2008-2012,4,25,0.52,5.52,11.50,48.59,0.0,0.0,0.04225352112676056,NA
89,T Mupariwa (ZIM),2006-2009,3,21,0.3333333333333333,6.523809523809524,9.78,52.69,0.0,0.0,0.04230769230769231,NA
90,AF Milne (NZ),2012-2016,4,12,0.5,10.833333333333336,21.66,98.48,0.0,0.0,0.08333333333333333,NA
91,MA Starc (AUS),2010-2013,3,7,0.5714285714285714,17.428571428571427,40.66,100.82,0.0,0.14285714285714285,0.11570247933884298,NA
92,JEC Franklin (NZ),2001-2004,3,16,0.1875,7.25,8.92,55.23,0.0,0.0,0.047619047619047616,NA
93,Hamza Tariq (CAN),2011-2014,3,7,0.0,16.571428571428573,16.57,73.88,0.0,0.14285714285714285,0.10828025477707008,NA
94,L Balaji (INDIA),2002-2005,3,15,0.4,7.533333333333332,12.55,79.57,0.0,0.0,0.07042253521126761,NA
95,GH Dockrell (IRE),2013-2016,3,15,0.5333333333333333,7.533333333333332,16.14,67.26,0.0,0.0,0.047619047619047616,NA
96,Shafiul Islam (BDESH),2010-2013,3,27,0.2962962962962963,4.037037037037037,5.73,55.89,0.0,0.0,0.06666666666666668,NA
97,RO Hinds (WI),2001-2004,3,9,0.3333333333333333,11.222222222222221,16.83,59.41,0.0,0.0,0.06470588235294117,NA
98,RP Singh (INDIA),2006-2009,3,17,0.4117647058823529,5.470588235294118,9.30,40.08,0.0,0.0,0.02155172413793104,NA
99,PM Seelaar (NL),2007-2011,4,16,0.5,5.6875,11.37,55.15,0.0,0.0,0.060606060606060615,NA
100,Mirwais Ashraf (AFG),2009-2012,3,8,0.125,10.375,11.85,64.84,0.0,0.0,0.0625,NA
101,SM Sharif (SCOT),2011-2015,4,8,0.5,10.125,20.25,75.0,0.0,0.0,0.07407407407407407,NA
102,SL Malinga (SL),2004-2007,3,17,0.4705882352941176,4.117647058823529,7.77,65.42,0.0,0.0,0.04672897196261682,NA
103,Shahadat Hossain (BDESH),2006-2010,4,21,0.5714285714285714,3.333333333333333,7.77,55.11,0.0,0.0,0.06299212598425198,NA
104,JM Anderson (ENG),2002-2006,4,19,0.4736842105263158,3.631578947368421,6.90,36.5,0.0,0.0,0.021164021164021163,NA
105,Syed Rasel (BDESH),2005-2008,3,18,0.3333333333333333,3.111111111111111,4.66,40.28,0.0,0.0,0.03597122302158273,NA
106,Rubel Hossain (BDESH),2010-2013,3,18,0.5555555555555556,2.3888888888888893,5.37,56.57,0.0,0.0,0.06578947368421052,NA
107,MBS Jonkman (NL),2006-2010,4,6,0.3333333333333333,6.833333333333332,10.25,78.84,0.0,0.0,0.09615384615384616,NA
108,G Goudie (SCOT),2008-2011,3,9,0.3333333333333333,4.4444444444444455,6.66,63.49,0.0,0.0,0.06349206349206349,NA
109,E Otieno (KENYA),2008-2011,3,15,0.4,2.6666666666666665,4.44,33.61,0.0,0.0,0.025210084033613446,NA
110,JL Pattinson (AUS),2011-2014,3,7,0.42857142857142855,5.7142857142857135,10.00,55.55,0.0,0.0,0.027777777777777776,NA
111,N M'shangwe (ZIM),2011-2014,3,6,0.16666666666666666,6.333333333333332,7.60,84.44,0.0,0.0,0.1111111111111111,NA
112,Joginder Sharma (INDIA),2004-2007,3,3,0.6666666666666666,11.666666666666664,35.00,116.66,0.0,0.0,0.16666666666666666,NA
113,I Sharma (INDIA),2008-2011,3,10,0.2,3.4,4.25,33.33,0.0,0.0,0.029411764705882356,NA
114,Sarfraz Ahmed (PAK),2007-2010,3,3,0.0,10.666666666666666,10.66,54.23,0.0,0.0,0.01694915254237288,NA
115,KM Jarvis (ZIM),2009-2012,3,10,0.4,2.9,4.83,37.66,0.0,0.0,0.025974025974025976,NA
116,KMDN Kulasekara (SL),2003-2006,3,8,0.5,2.375,4.75,24.35,0.0,0.0,0.0,NA
117,DJG Sammy (WI),2004-2007,3,1,1.0,18.0,-,138.46,0.0,0.0,0.07692307692307693,NA
118,JJC Lawson (WI),2002-2005,3,4,0.5,3.75,7.50,100.0,0.0,0.0,0.13333333333333333,NA
119,CB Mpofu (ZIM),2006-2009,3,16,0.5,0.875,1.75,21.87,0.0,0.0,0.015625,NA
120,Nazmul Hossain (BDESH),2008-2011,3,10,0.6,0.5,1.25,13.88,0.0,0.0,0.0,NA
121,Abul Hasan (BDESH),2012-2015,3,2,0.0,2.0,2.00,44.44,0.0,0.0,0.0,NA
122,Danish Kaneria (PAK),2001-2004,3,5,0.8,0.8,4.00,28.57,0.0,0.0,0.0,NA
123,M Zondeki (Afr/SA),2002-2006,4,3,0.6666666666666666,1.3333333333333333,4.00,80.0,0.0,0.0,0.0,NA
124,CH Gayle (WI),2001-2004,3,82,0.06097560975609756,42.65853658536585,45.42,79.91,0.1097560975609756,0.25609756097560976,0.10783641763765137,NA
125,M Kaif (INDIA),2002-2005,3,90,0.2333333333333333,27.011111111111113,35.23,73.68,0.022222222222222227,0.15555555555555556,0.06547438617762959,NA
126,MJ Clarke (AUS),2003-2006,3,71,0.2676056338028169,32.71830985915493,44.67,86.13,0.028169014084507043,0.22535211267605634,0.08379681127178347,NA
127,Abdul Razzaq (PAK),2001-2004,3,93,0.26881720430107525,24.72043010752688,33.80,86.49,0.021505376344086027,0.10752688172043012,0.08954100827689992,NA
