id,Player,Span,Years,Inns,R/I,HS,Avrg,SR,100/I,50/I,6+4/BF,Class
130,Shahid Afridi (PAK),2001-2005,4,71,22.5915493,108,23.94,120.23,0.014084507,0.14084507,0.170914543,NA
131,JC Buttler (ENG),2012-2015,3,52,28.21153846,129,32.6,113.89,0.038461538,0.134615385,0.12810559,NA
132,IR Bell (ENG),2004-2007,3,40,34.4,88,37.18,69.31,0,0.25,0.063476071,NA
133,Imrul Kayes (BDESH),2008-2011,3,48,27.39583333,101,27.97,65.16,0.020833333,0.1875,0.07185332,NA
134,JA Rudolph (Afr/SA),2003-2006,3,39,30.1025641,81,35.57,68.05,0,0.179487179,0.066086957,NA
135,MR Marsh (AUS),2013-2016,3,38,30.34210526,102,37.19,92.38,0.026315789,0.210526316,0.104166667,NA
136,WTS Porterfield (IRE),2006-2009,3,37,31.08108108,112,33.82,65.86,0.108108108,0.108108108,0.068155785,NA
137,Aftab Ahmed (BDESH),2006-2010,4,43,23.1627907,92,24.29,83.48,0,0.162790698,0.104777871,NA
138,T Taibu (Afr/ZIM),2004-2008,4,37,26.54054054,107,28.88,68.76,0.027027027,0.135135135,0.05952381,NA
139,KD Karthik (INDIA),2006-2010,4,34,23.76470588,79,29.92,77.09,0,0.117647059,0.085877863,NA
140,Mohammad Shahzad (AFG),2009-2012,3,21,35.38095238,118,37.15,90.06,0.142857143,0.142857143,0.115151515,NA
141,MW Machan (SCOT),2013-2016,3,22,33.36363636,114,33.36,77.1,0.045454545,0.136363636,0.072478992,NA
142,Naeem Islam (BDESH),2008-2011,3,41,16.36585366,73,24.85,64.08,0,0.048780488,0.063037249,NA
143,GC Wilson (IRE),2007-2010,3,24,25.29166667,113,27.59,72.26,0.041666667,0.166666667,0.08452381,NA
144,MA Ouma (KENYA),2004-2007,3,31,19.38709677,58,20.03,59.74,0,0.096774194,0.070576541,NA
145,JO Holder (WI),2013-2016,3,33,16.21212121,57,22.29,93.69,0,0.060606061,0.112084063,NA
146,Fawad Alam (PAK),2007-2010,3,20,24,64,40,73.05,0,0.15,0.04109589,NA
147,LJ Wright (ENG),2007-2010,3,22,21.22727273,52,23.35,102.41,0,0.090909091,0.131578947,NA
148,Asghar Stanikzai (AFG),2009-2012,3,21,22.0952381,66,25.77,56.44,0,0.142857143,0.0486618,NA
149,G Gambhir (INDIA),2003-2006,3,16,25.5625,103,25.56,75.88,0.0625,0.0625,0.116883117,NA
150,Harbhajan Singh (INDIA),2001-2005,4,44,9.068181818,41,12.09,78.69,0,0,0.08678501,NA
151,RD Berrington (SCOT),2008-2011,3,18,21.5,84,22.76,81.3,0,0.166666667,0.079831933,NA
152,Alok Kapali (BDESH),2005-2008,3,20,17.8,115,18.73,78.24,0.05,0.05,0.079120879,NA
153,A Bagai (CAN),2003-2007,4,19,18.73684211,64,22.25,55.53,0,0.157894737,0.060842434,NA
154,DL Vettori (NZ),2001-2004,3,44,7.75,30,11.36,69.73,0,0,0.051124744,NA
155,TT Bresnan (ENG),2006-2009,3,14,18.07142857,80,31.62,95.47,0,0.071428571,0.113207547,NA
156,CO Obuya (KENYA),2002-2006,4,17,14.82352941,45,15.75,58.19,0,0,0.03926097,NA
157,LMP Simmons (WI),2006-2009,3,14,17.71428571,70,20.66,57.8,0,0.142857143,0.065268065,NA
158,CL White (AUS),2005-2008,3,12,17.08333333,45,25.62,112.63,0,0,0.10989011,NA
159,AD Poynter (IRE),2008-2011,3,12,16.66666667,78,22.22,67.34,0,0.166666667,0.067340067,NA
160,JWA Taylor (ENG),2011-2014,3,6,32.66666667,90,32.66,73.96,0,0.333333333,0.067924528,NA
161,Abdur Razzak (BDESH),2004-2007,3,29,6.206896552,21,12.85,72.28,0,0,0.060240964,NA
162,JE Taylor (WI),2006-2009,3,25,7.04,43,9.77,86.69,0,0,0.098522167,NA
163,LE Plunkett (ENG),2006-2010,4,17,9.705882353,29,20.62,97.63,0,0,0.071005917,NA
164,TC Bastiampillai (CAN),2007-2010,3,11,14.81818182,49,14.81,63.42,0,0,0.105058366,NA
165,B Kumar (INDIA),2012-2015,3,22,7.318181818,31,9.47,80.5,0,0,0.085,NA
166,Faisal Iqbal (PAK),2003-2006,3,9,16.33333333,32,16.33,50,0,0,0.037414966,NA
167,J Mubarak (SL),2002-2006,4,9,16.33333333,53,16.33,58.8,0,0.111111111,0.068,NA
168,R Clarke (ENG),2003-2006,3,13,11.07692308,39,11.07,62.06,0,0,0.056034483,NA
169,KD Mills (NZ),2001-2004,3,18,7.222222222,23,11.81,48.68,0,0,0.037453184,NA
170,HA Varaiya (KENYA),2006-2009,3,20,6.5,34,13,47.44,0,0,0.02189781,NA
171,Umar Gul (PAK),2006-2009,3,18,6.166666667,27,10.09,70.7,0,0,0.082802548,NA
172,RT Lyons (SCOT),2006-2009,3,10,8.6,28,28.66,61.42,0,0,0.057142857,NA
173,DT Hondo (ZIM),2001-2004,3,22,3.863636364,15,7.08,44.27,0,0,0.057291667,NA
174,CRD Fernando (SL),2001-2004,3,24,3.375,13,7.36,52.59,0,0,0.045454545,NA
