Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF
CS MacLeod (SCOT),2009-2012,3,7,24.142857142857142,99,28.16,72.53,0.0,0.14285714285714285,0.06437768240343347
Gulbadin Naib (AFG),2011-2014,3,10,15.2,31,19.00,92.68,0.0,0.0,0.11585365853658537
CS Baugh (WI),2003-2006,3,11,13.272727272727273,29,24.33,81.56,0.0,0.0,0.09497206703910614
KAJ Roach (WI),2008-2012,4,25,5.52,24,11.50,48.59,0.0,0.0,0.04225352112676056
T Mupariwa (ZIM),2006-2009,3,21,6.523809523809524,33,9.78,52.69,0.0,0.0,0.04230769230769231
MA Starc (AUS),2010-2013,3,7,17.428571428571427,52,40.66,100.82,0.0,0.14285714285714285,0.11570247933884298
JEC Franklin (NZ),2001-2004,3,16,7.25,25,8.92,55.23,0.0,0.0,0.047619047619047616
Hamza Tariq (CAN),2011-2014,3,7,16.571428571428573,71,16.57,73.88,0.0,0.14285714285714285,0.10828025477707007
L Balaji (INDIA),2002-2005,3,15,7.533333333333333,21,12.55,79.57,0.0,0.0,0.07042253521126761
Shafiul Islam (BDESH),2010-2013,3,27,4.037037037037037,24,5.73,55.89,0.0,0.0,0.06666666666666667
RO Hinds (WI),2001-2004,3,9,11.222222222222221,18,16.83,59.41,0.0,0.0,0.06470588235294118
RP Singh (INDIA),2006-2009,3,17,5.470588235294118,23,9.30,40.08,0.0,0.0,0.021551724137931036
PM Seelaar (NL),2007-2011,4,16,5.6875,34,11.37,55.15,0.0,0.0,0.06060606060606061
Mirwais Ashraf (AFG),2009-2012,3,8,10.375,17,11.85,64.84,0.0,0.0,0.0625
SM Sharif (SCOT),2011-2014,3,8,10.125,26,20.25,75.00,0.0,0.0,0.07407407407407407
SL Malinga (SL),2004-2007,3,17,4.117647058823529,15,7.77,65.42,0.0,0.0,0.04672897196261682
Shahadat Hossain (BDESH),2006-2010,4,21,3.3333333333333335,16,7.77,55.11,0.0,0.0,0.06299212598425197
JM Anderson (ENG),2002-2006,4,19,3.6315789473684212,12,6.90,36.50,0.0,0.0,0.021164021164021163
Syed Rasel (BDESH),2005-2008,3,18,3.111111111111111,15,4.66,40.28,0.0,0.0,0.03597122302158273
Rubel Hossain (BDESH),2010-2013,3,18,2.388888888888889,15,5.37,56.57,0.0,0.0,0.06578947368421052
MBS Jonkman (NL),2006-2010,4,6,6.833333333333333,15,10.25,78.84,0.0,0.0,0.09615384615384616
G Goudie (SCOT),2008-2011,3,9,4.444444444444445,17,6.66,63.49,0.0,0.0,0.06349206349206349
E Otieno (KENYA),2008-2011,3,15,2.6666666666666665,11,4.44,33.61,0.0,0.0,0.025210084033613446
JL Pattinson (AUS),2011-2014,3,7,5.714285714285714,13,10.00,55.55,0.0,0.0,0.027777777777777776
N M'shangwe (ZIM),2011-2014,3,6,6.333333333333333,16,7.60,84.44,0.0,0.0,0.1111111111111111
Joginder Sharma (INDIA),2004-2007,3,3,11.666666666666666,29,35.00,116.66,0.0,0.0,0.16666666666666666
I Sharma (INDIA),2008-2011,3,10,3.4,13,4.25,33.33,0.0,0.0,0.029411764705882353
Sarfraz Ahmed (PAK),2007-2010,3,3,10.666666666666666,19,10.66,54.23,0.0,0.0,0.01694915254237288
KM Jarvis (ZIM),2009-2012,3,10,2.9,13,4.83,37.66,0.0,0.0,0.025974025974025976
KMDN Kulasekara (SL),2003-2006,3,8,2.375,11,4.75,24.35,0.0,0.0,0.0
DJG Sammy (WI),2004-2007,3,1,18.0,18,-,138.46,0.0,0.0,0.07692307692307693
JJC Lawson (WI),2002-2005,3,4,3.75,8,7.50,100.00,0.0,0.0,0.13333333333333333
CB Mpofu (ZIM),2006-2009,3,16,0.875,4,1.75,21.87,0.0,0.0,0.015625
Nazmul Hossain (BDESH),2008-2011,3,10,0.5,3,1.25,13.88,0.0,0.0,0.0
Danish Kaneria (PAK),2001-2004,3,5,0.8,3,4.00,28.57,0.0,0.0,0.0
M Zondeki (Afr/SA),2002-2006,4,3,1.3333333333333333,3,4.00,80.00,0.0,0.0,0.0
PA Desai (CAN),2011-2014,3,3,1.0,3,3.00,25.00,0.0,0.0,0.0
CH Gayle (WI),2001-2004,3,82,42.65853658536585,153,45.42,79.91,0.10975609756097561,0.25609756097560976,0.10783641763765137
M Kaif (INDIA),2002-2005,3,90,27.011111111111113,111,35.23,73.68,0.022222222222222223,0.15555555555555556,0.06547438617762959
MJ Clarke (AUS),2003-2006,3,71,32.71830985915493,105,44.67,86.13,0.028169014084507043,0.22535211267605634,0.08379681127178347
Abdul Razzaq (PAK),2001-2004,3,93,24.72043010752688,112,33.80,86.49,0.021505376344086023,0.10752688172043011,0.08954100827689992
LRPL Taylor (NZ),2006-2009,3,54,32.03703703703704,128,39.31,83.69,0.05555555555555555,0.18518518518518517,0.09530720851475569
Shahid Afridi (PAK),2001-2005,4,71,22.591549295774648,108,23.94,120.23,0.014084507042253521,0.14084507042253522,0.17091454272863568
IR Bell (ENG),2004-2007,3,40,34.4,88,37.18,69.31,0.0,0.25,0.06347607052896725
Imrul Kayes (BDESH),2008-2011,3,48,27.395833333333332,101,27.97,65.16,0.020833333333333332,0.1875,0.07185332011892963
JA Rudolph (Afr/SA),2003-2006,3,39,30.102564102564102,81,35.57,68.05,0.0,0.1794871794871795,0.06608695652173913
WTS Porterfield (IRE),2006-2009,3,37,31.08108108108108,112,33.82,65.86,0.10810810810810811,0.10810810810810811,0.06815578465063
Aftab Ahmed (BDESH),2006-2010,4,43,23.162790697674417,92,24.29,83.48,0.0,0.16279069767441862,0.10477787091366303
T Taibu (Afr/ZIM),2004-2008,4,37,26.54054054054054,107,28.88,68.76,0.02702702702702703,0.13513513513513514,0.05952380952380952
KD Karthik (INDIA),2006-2010,4,34,23.764705882352942,79,29.92,77.09,0.0,0.11764705882352941,0.08587786259541985
Mohammad Shahzad (AFG),2009-2012,3,21,35.38095238095238,118,37.15,90.06,0.14285714285714285,0.14285714285714285,0.11515151515151516
Naeem Islam (BDESH),2008-2011,3,41,16.365853658536587,73,24.85,64.08,0.0,0.04878048780487805,0.06303724928366762
GC Wilson (IRE),2007-2010,3,24,25.291666666666668,113,27.59,72.26,0.041666666666666664,0.16666666666666666,0.08452380952380953
MA Ouma (KENYA),2004-2007,3,31,19.387096774193548,58,20.03,59.74,0.0,0.0967741935483871,0.0705765407554672
Fawad Alam (PAK),2007-2010,3,20,24.0,64,40.00,73.05,0.0,0.15,0.0410958904109589
LJ Wright (ENG),2007-2010,3,22,21.227272727272727,52,23.35,102.41,0.0,0.09090909090909091,0.13157894736842105
Asghar Stanikzai (AFG),2009-2012,3,21,22.095238095238095,66,25.77,56.44,0.0,0.14285714285714285,0.04866180048661801
G Gambhir (INDIA),2003-2006,3,16,25.5625,103,25.56,75.88,0.0625,0.0625,0.11688311688311688
Harbhajan Singh (INDIA),2001-2005,4,44,9.068181818181818,41,12.09,78.69,0.0,0.0,0.08678500986193294
RD Berrington (SCOT),2008-2011,3,18,21.5,84,22.76,81.30,0.0,0.16666666666666666,0.07983193277310924
Alok Kapali (BDESH),2005-2008,3,20,17.8,115,18.73,78.24,0.05,0.05,0.07912087912087912
A Bagai (CAN),2003-2007,4,19,18.736842105263158,64,22.25,55.53,0.0,0.15789473684210525,0.060842433697347896
DL Vettori (NZ),2001-2004,3,44,7.75,30,11.36,69.73,0.0,0.0,0.05112474437627812
TT Bresnan (ENG),2006-2009,3,14,18.071428571428573,80,31.62,95.47,0.0,0.07142857142857142,0.11320754716981132
CO Obuya (KENYA),2002-2006,4,17,14.823529411764707,45,15.75,58.19,0.0,0.0,0.03926096997690531
LMP Simmons (WI),2006-2009,3,14,17.714285714285715,70,20.66,57.80,0.0,0.14285714285714285,0.06526806526806526
CL White (AUS),2005-2008,3,12,17.083333333333332,45,25.62,112.63,0.0,0.0,0.10989010989010989
AD Poynter (IRE),2008-2011,3,12,16.666666666666668,78,22.22,67.34,0.0,0.16666666666666666,0.06734006734006734
JWA Taylor (ENG),2011-2014,3,6,32.666666666666664,90,32.66,73.96,0.0,0.3333333333333333,0.06792452830188679
Abdur Razzak (BDESH),2004-2007,3,29,6.206896551724138,21,12.85,72.28,0.0,0.0,0.060240963855421686
JE Taylor (WI),2006-2009,3,25,7.04,43,9.77,86.69,0.0,0.0,0.09852216748768473
LE Plunkett (ENG),2006-2010,4,17,9.705882352941176,29,20.62,97.63,0.0,0.0,0.07100591715976332
TC Bastiampillai (CAN),2007-2010,3,11,14.818181818181818,49,14.81,63.42,0.0,0.0,0.10505836575875487
Faisal Iqbal (PAK),2003-2006,3,9,16.333333333333332,32,16.33,50.00,0.0,0.0,0.03741496598639456
J Mubarak (SL),2002-2006,4,9,16.333333333333332,53,16.33,58.80,0.0,0.1111111111111111,0.068
