Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50,50/I,4,6,6+4/BF
TJ Friend (ZIM),2001-2004,4,32,15.96875,91,17.03,78.37,0.0,3,0.09375,53,6,0.09049079754601227
NLTC Perera (SL),2009-2013,5,39,12.974358974358974,69,15.81,110.48,0.0,1,0.02564102564102564,40,15,0.12008733624454149
BG Rogers (ZIM),2002-2005,4,15,31.866666666666667,84,31.86,69.37,0.0,5,0.3333333333333333,59,3,0.0899854862119013
Taufeeq Umar (PAK),2001-2005,5,19,23.526315789473685,81,24.83,57.45,0.0,3,0.15789473684210525,47,1,0.061696658097686374
AN Kervezee (NL),2010-2012,3,15,27.933333333333334,92,29.92,85.33,0.0,2,0.13333333333333333,44,9,0.1079429735234216
Farhad Reza (BDESH),2006-2008,3,29,13.448275862068966,50,16.95,64.89,0.0,1,0.034482758620689655,37,8,0.07487520798668885
DA Miller (SA),2010-2013,4,18,21.27777777777778,67,29.46,101.05,0.0,3,0.16666666666666666,28,9,0.09762532981530343
SPD Smith (AUS),2010-2013,4,22,17.272727272727273,46,21.11,86.75,0.0,0,0.0,27,3,0.0684931506849315
Noor Ali Zadran (AFG),2009-2012,4,14,26.5,114,28.53,70.66,0.07142857142857142,1,0.07142857142857142,34,2,0.06857142857142857
Asghar Stanikzai (AFG),2009-2011,3,17,21.529411764705884,64,24.40,55.28,0.0,2,0.11764705882352941,24,7,0.04682779456193353
Harbhajan Singh (INDIA),2001-2003,3,39,8.871794871794872,46,11.53,89.17,0.0,0,0.0,32,8,0.10309278350515463
SR Watson (AUS),2002-2005,4,20,17.05,77,31.00,68.06,0.0,1,0.05,18,5,0.04590818363273453
SCJ Broad (ENG),2006-2010,5,37,9.135135135135135,45,14.69,74.12,0.0,0,0.0,22,4,0.05701754385964912
T Mishra (KENYA),2007-2010,4,11,27.818181818181817,66,34.00,78.86,0.0,2,0.18181818181818182,24,4,0.07216494845360824
LE Plunkett (ENG),2005-2007,3,24,12.291666666666666,56,21.07,85.26,0.0,1,0.041666666666666664,21,5,0.07514450867052024
RD Berrington (SCOT),2008-2010,3,14,20.857142857142858,84,22.46,71.74,0.0,2,0.14285714285714285,21,5,0.06388206388206388
GC Wilson (IRE),2007-2009,3,16,18.125,51,19.33,65.46,0.0,2,0.125,35,3,0.08577878103837472
ADS Fletcher (WI),2008-2010,3,15,17.066666666666666,54,17.06,70.13,0.0,2,0.13333333333333333,30,5,0.0958904109589041
Alok Kapali (BDESH),2004-2006,3,21,12.0,55,12.60,59.43,0.0,1,0.047619047619047616,17,1,0.04245283018867924
CO Obuya (KENYA),2001-2003,3,22,11.181818181818182,29,12.94,58.85,0.0,0,0.0,20,3,0.05502392344497608
Tapash Baisya (BDESH),2003-2006,4,30,8.166666666666666,33,11.13,57.37,0.0,0,0.0,20,1,0.04918032786885246
DL Vettori (NZ),2001-2003,3,31,7.774193548387097,30,12.68,70.26,0.0,0,0.0,12,3,0.043731778425655975
NS Poonia (SCOT),2006-2009,4,21,11.285714285714286,67,11.28,62.86,0.0,1,0.047619047619047616,31,2,0.08753315649867374
DO Obuya (KENYA),2001-2003,3,23,9.869565217391305,57,10.80,46.13,0.0,1,0.043478260869565216,25,2,0.054878048780487805
P Kumar (INDIA),2007-2010,4,24,9.375,54,13.23,85.22,0.0,1,0.041666666666666664,21,4,0.0946969696969697
Manjural Islam Rana (BDESH),2004-2006,3,17,13.058823529411764,43,17.07,47.84,0.0,0,0.0,13,1,0.03017241379310345
Fawad Alam (PAK),2007-2009,3,12,17.5,63,42.00,73.68,0.0,1,0.08333333333333333,13,1,0.04912280701754386
DC Thomas (WI),2011-2013,3,18,11.61111111111111,37,12.29,62.95,0.0,0,0.0,17,2,0.0572289156626506
TG Southee (NZ),2008-2012,5,31,6.709677419354839,32,10.94,88.51,0.0,0,0.0,11,8,0.08085106382978724
HS Baidwan (CAN),2008-2011,4,16,12.5625,33,22.33,67.00,0.0,0,0.0,12,0,0.04
CK Coventry (ZIM),2003-2006,4,10,19.9,74,19.90,85.77,0.0,1,0.1,19,7,0.11206896551724138
Mohammad Sami (PAK),2001-2004,4,33,5.909090909090909,23,13.00,61.90,0.0,0,0.0,4,8,0.0380952380952381
WD Parnell (SA),2009-2012,4,13,14.0,49,18.20,74.89,0.0,0,0.0,13,3,0.06584362139917696
RW Chakabva (ZIM),2008-2011,4,10,17.6,45,19.55,59.45,0.0,0,0.0,16,0,0.05405405405405406
KS Lokuarachchi (SL),2003-2006,4,13,13.384615384615385,69,15.81,78.02,0.0,1,0.07692307692307693,7,4,0.04932735426008968
ML Nkala (ZIM),2001-2005,5,19,9.105263157894736,47,11.53,58.44,0.0,0,0.0,12,3,0.05067567567567568
Usman Limbada (CAN),2010-2013,4,10,17.0,50,18.88,68.82,0.0,1,0.1,18,1,0.07692307692307693
CL White (AUS),2005-2007,3,10,15.7,45,22.42,116.29,0.0,0,0.0,7,9,0.11851851851851852
MA Ouma (KENYA),2004-2006,3,11,13.636363636363637,49,13.63,44.11,0.0,0,0.0,15,0,0.04411764705882353
AD Poynter (IRE),2008-2010,3,11,13.545454545454545,78,18.62,56.65,0.0,1,0.09090909090909091,9,4,0.049429657794676805
Tushar Imran (BDESH),2005-2007,3,15,9.866666666666667,32,9.86,49.66,0.0,0,0.0,16,0,0.053691275167785234
CS Baugh (WI),2003-2006,4,11,13.272727272727273,29,24.33,81.56,0.0,0,0.0,11,6,0.09497206703910614
KAJ Roach (WI),2008-2012,5,25,5.52,24,11.50,48.59,0.0,0,0.0,11,1,0.04225352112676056
T Mupariwa (ZIM),2006-2009,4,21,6.523809523809524,33,9.78,52.69,0.0,0,0.0,11,0,0.04230769230769231
RJ Trott (BMUDA),2007-2009,3,10,13.0,48,21.66,52.20,0.0,0,0.0,9,0,0.03614457831325301
A Maregwede (ZIM),2003-2005,3,11,11.272727272727273,37,12.40,56.88,0.0,0,0.0,10,2,0.05504587155963303
JE Taylor (WI),2006-2008,3,18,6.777777777777778,43,11.09,97.60,0.0,0,0.0,11,3,0.112
JEC Franklin (NZ),2001-2004,4,16,7.25,25,8.92,55.23,0.0,0,0.0,10,0,0.047619047619047616
L Balaji (INDIA),2002-2005,4,15,7.533333333333333,21,12.55,79.57,0.0,0,0.0,7,3,0.07042253521126761
NB Mahwire (ZIM),2004-2006,3,17,6.647058823529412,22,11.30,47.67,0.0,0,0.0,5,2,0.029535864978902954
Shafiul Islam (BDESH),2010-2013,4,27,4.037037037037037,24,5.73,55.89,0.0,0,0.0,11,2,0.06666666666666667
DCC Borden (BMUDA),2006-2008,3,11,8.909090909090908,24,14.00,50.25,0.0,0,0.0,9,0,0.046153846153846156
RP Singh (INDIA),2006-2009,4,17,5.470588235294118,23,9.30,40.08,0.0,0,0.0,4,1,0.021551724137931036
PM Seelaar (NL),2007-2011,5,16,5.6875,34,11.37,55.15,0.0,0,0.0,8,2,0.06060606060606061
CRD Fernando (SL),2001-2003,3,23,3.5217391304347827,13,8.10,52.94,0.0,0,0.0,7,0,0.0457516339869281
ST Finn (ENG),2011-2013,3,12,6.666666666666667,35,13.33,89.88,0.0,0,0.0,9,2,0.12359550561797752
KD Mills (NZ),2001-2003,3,11,7.181818181818182,23,11.28,46.74,0.0,0,0.0,5,1,0.03550295857988166
SL Malinga (SL),2004-2007,4,17,4.117647058823529,15,7.77,65.42,0.0,0,0.0,4,1,0.04672897196261682
Shahadat Hossain (BDESH),2006-2010,5,21,3.3333333333333335,16,7.77,55.11,0.0,0,0.0,7,1,0.06299212598425197
JM Anderson (ENG),2002-2006,5,19,3.6315789473684212,12,6.90,36.50,0.0,0,0.0,4,0,0.021164021164021163
DT Hondo (ZIM),2001-2003,3,14,4.357142857142857,15,10.16,42.95,0.0,0,0.0,9,0,0.06338028169014084
Syed Rasel (BDESH),2005-2008,4,18,3.111111111111111,15,4.66,40.28,0.0,0,0.0,5,0,0.03597122302158273
Umar Gul (PAK),2006-2008,3,11,5.0,17,9.16,65.47,0.0,0,0.0,6,1,0.08333333333333333
RAP Nissanka (SL),2001-2003,3,13,4.076923076923077,11,6.62,37.85,0.0,0,0.0,4,1,0.03571428571428571
Junaid Khan (PAK),2011-2013,3,16,3.0,25,6.00,51.06,0.0,0,0.0,3,1,0.0425531914893617
A Nehra (INDIA),2001-2003,3,14,3.357142857142857,24,9.40,59.49,0.0,0,0.0,4,1,0.06329113924050633
Abdur Razzak (BDESH),2004-2006,3,11,4.090909090909091,21,7.50,70.31,0.0,0,0.0,1,1,0.03125
Rubel Hossain (BDESH),2010-2013,4,18,2.388888888888889,15,5.37,56.57,0.0,0,0.0,5,0,0.06578947368421052
E Otieno (KENYA),2008-2011,4,15,2.6666666666666665,11,4.44,33.61,0.0,0,0.0,3,0,0.025210084033613446
I Sharma (INDIA),2008-2011,4,10,3.4,13,4.25,33.33,0.0,0,0.0,3,0,0.029411764705882353
AJ Ireland (ZIM),2005-2007,3,13,2.3076923076923075,8,3.75,29.70,0.0,0,0.0,2,0,0.019801980198019802
TCB Fernando (SL),2001-2003,3,10,2.9,14,7.25,49.15,0.0,0,0.0,0,0,0.0
KM Jarvis (ZIM),2009-2012,4,10,2.9,13,4.83,37.66,0.0,0,0.0,2,0,0.025974025974025976
EC Rainsford (ZIM),2006-2008,3,11,2.272727272727273,9,6.25,33.33,0.0,0,0.0,0,0,0.0
CB Mpofu (ZIM),2006-2009,4,16,0.875,4,1.75,21.87,0.0,0,0.0,1,0,0.015625
Nazmul Hossain (BDESH),2008-2011,4,10,0.5,3,1.25,13.88,0.0,0,0.0,0,0,0.0
V Sehwag (INDIA),2001-2003,3,69,32.391304347826086,126,35.47,96.92,0.07246376811594203,11,0.15942028985507245,326,28,0.15351257588898526
MJ Guptill (NZ),2009-2011,3,50,31.44,122,35.72,79.75,0.02,11,0.22,153,31,0.09335362760020294
MS Dhoni (INDIA),2004-2006,3,43,34.116279069767444,183,48.90,100.96,0.046511627906976744,8,0.18604651162790697,131,45,0.12112869924294563
IR Bell (ENG),2004-2007,4,40,34.4,88,37.18,69.31,0.0,10,0.25,122,4,0.06347607052896725
L Vincent (NZ),2001-2003,3,59,18.83050847457627,60,21.78,57.06,0.0,4,0.06779661016949153,78,9,0.04468412942989214
C Kieswetter (ENG),2010-2012,3,37,27.35135135135135,107,30.66,91.08,0.02702702702702703,5,0.13513513513513514,102,30,0.1188118811881188
RL Powell (WI),2001-2003,3,41,20.317073170731707,88,26.03,100.24,0.0,3,0.07317073170731707,75,27,0.12274368231046931
KD Karthik (INDIA),2006-2010,5,34,23.764705882352942,79,29.92,77.09,0.0,4,0.11764705882352941,80,10,0.08587786259541985
KJ O'Brien (IRE),2006-2008,3,26,29.346153846153847,142,31.79,80.65,0.038461538461538464,3,0.11538461538461539,58,23,0.08562367864693446
AD Russell (WI),2011-2013,3,27,24.444444444444443,92,30.00,119.34,0.0,3,0.1111111111111111,61,30,0.16455696202531644
TM Odoyo (KENYA),2001-2003,3,28,21.785714285714285,53,23.46,65.66,0.0,2,0.07142857142857142,64,8,0.077502691065662
Mohammad Hafeez (PAK),2003-2005,3,30,18.1,69,18.10,51.56,0.0,3,0.1,60,4,0.060778727445394115
DA Marillier (ZIM),2001-2003,3,30,17.466666666666665,100,20.15,77.05,0.03333333333333333,3,0.1,47,6,0.07794117647058824
LJ Wright (ENG),2007-2010,4,22,21.227272727272727,52,23.35,102.41,0.0,2,0.09090909090909091,44,16,0.13157894736842105
JDP Oram (NZ),2001-2003,3,32,13.875,59,15.85,71.38,0.0,1,0.03125,34,16,0.08038585209003216
MA Vermeulen (ZIM),2002-2004,3,18,24.0,79,30.85,71.64,0.0,4,0.2222222222222222,66,0,0.10945273631840796
G Gambhir (INDIA),2003-2006,4,16,25.5625,103,25.56,75.88,0.0625,1,0.0625,61,2,0.11688311688311688
AM Rahane (INDIA),2011-2013,3,16,25.25,91,25.25,72.66,0.0,2,0.125,41,3,0.07913669064748201
AM Blignaut (ZIM),2001-2003,3,20,19.05,63,22.41,112.38,0.0,4,0.2,44,6,0.14749262536873156
A Bagai (CAN),2003-2007,5,19,18.736842105263158,64,22.25,55.53,0.0,3,0.15789473684210525,38,1,0.060842433697347896
AG Cremer (ZIM),2009-2011,3,28,11.285714285714286,37,16.63,63.32,0.0,0,0.0,25,1,0.052104208416833664
Samiullah Shenwari (AFG),2009-2011,3,12,25.0,82,30.00,69.12,0.0,2,0.16666666666666666,23,5,0.06451612903225806
OA Shah (ENG),2001-2003,3,15,18.866666666666667,62,21.76,65.96,0.0,2,0.13333333333333333,20,0,0.046620046620046623
CS MacLeod (SCOT),2011-2013,3,12,22.75,99,24.81,60.00,0.0,1,0.08333333333333333,20,1,0.046153846153846156
PW Borren (NL),2006-2008,3,17,15.470588235294118,96,15.47,91.63,0.0,1,0.058823529411764705,21,6,0.09407665505226481
TT Bresnan (ENG),2006-2009,4,14,18.071428571428573,80,31.62,95.47,0.0,1,0.07142857142857142,29,1,0.11320754716981132
LMP Simmons (WI),2006-2009,4,14,17.714285714285715,70,20.66,57.80,0.0,2,0.14285714285714285,26,2,0.06526806526806526
Al Sahariar (BDESH),2001-2003,3,22,11.181818181818182,59,11.18,52.67,0.0,1,0.045454545454545456,33,1,0.0728051391862955
MJ Prior (ENG),2004-2006,3,12,20.0,45,20.00,70.79,0.0,0,0.0,38,0,0.11209439528023599
GEF Barnett (CAN),2006-2008,3,12,18.916666666666668,77,18.91,57.17,0.0,1,0.08333333333333333,26,2,0.07052896725440806
PL Mommsen (SCOT),2010-2012,3,11,19.0,80,19.00,51.73,0.0,1,0.09090909090909091,14,4,0.04455445544554455
Z Khan (INDIA),2001-2003,3,30,6.5,34,9.28,64.35,0.0,0,0.0,18,3,0.06930693069306931
SP Narine (WI),2011-2013,3,19,10.0,36,11.87,83.33,0.0,0,0.0,18,5,0.10087719298245613
Sohail Tanvir (PAK),2007-2009,3,18,10.11111111111111,59,14.00,95.78,0.0,1,0.05555555555555555,17,2,0.1
TC Bastiampillai (CAN),2007-2010,4,11,14.818181818181818,49,14.81,63.42,0.0,0,0.0,26,1,0.10505836575875487
U Bhatti (CAN),2006-2008,3,17,9.588235294117647,22,13.58,79.90,0.0,0,0.0,13,3,0.0784313725490196
Sarfraz Ahmed (PAK),2008-2012,5,11,13.818181818181818,46,21.71,68.46,0.0,0,0.0,6,0,0.02702702702702703
R Clarke (ENG),2003-2006,4,13,11.076923076923077,39,11.07,62.06,0.0,0,0.0,12,1,0.05603448275862069
CR Woakes (ENG),2011-2013,3,10,14.1,36,23.50,73.43,0.0,0,0.0,10,0,0.052083333333333336
HA Varaiya (KENYA),2006-2009,4,20,6.5,34,13.00,47.44,0.0,0,0.0,6,0,0.021897810218978103
DR Tuffey (NZ),2001-2003,3,28,4.464285714285714,20,7.81,61.88,0.0,0,0.0,12,1,0.06435643564356436
JK Kamande (KENYA),2001-2003,3,10,11.7,32,16.71,48.75,0.0,0,0.0,14,0,0.058333333333333334
RT Lyons (SCOT),2006-2009,4,10,8.6,28,28.66,61.42,0.0,0,0.0,8,0,0.05714285714285714
SI Mahmood (ENG),2004-2006,3,11,7.545454545454546,22,9.22,86.45,0.0,0,0.0,8,1,0.09375
SO Ngoche (KENYA),2010-2013,4,10,5.9,28,7.37,52.21,0.0,0,0.0,3,1,0.035398230088495575
JO Ngoche (KENYA),2010-2012,3,10,3.4,21,4.85,40.96,0.0,0,0.0,1,1,0.024096385542168676
KMDN Kulasekara (SL),2003-2007,5,11,3.0,11,6.60,34.73,0.0,0,0.0,1,0,0.010526315789473684
MM Patel (INDIA),2006-2008,3,11,2.909090909090909,15,5.33,53.33,0.0,0,0.0,3,0,0.05
S Sreesanth (INDIA),2005-2008,4,13,2.230769230769231,10,4.14,34.52,0.0,0,0.0,1,0,0.011904761904761904
Mohammad Asif (Asia/PAK),2005-2007,3,10,2.8,6,4.66,37.83,0.0,0,0.0,2,0,0.02702702702702703
Shapoor Zadran (AFG),2009-2012,4,10,2.0,17,4.00,40.81,0.0,0,0.0,1,2,0.061224489795918366
DPMD Jayawardene (SL),2001-2003,3,78,29.141025641025642,116,32.47,72.64,0.038461538461538464,11,0.14102564102564102,178,12,0.06072227548737616
Younis Khan (PAK),2001-2003,3,74,28.756756756756758,90,34.32,74.66,0.0,18,0.24324324324324326,155,17,0.060350877192982454
KC Sangakkara (SL),2001-2003,3,76,23.526315789473685,103,26.68,70.00,0.02631578947368421,7,0.09210526315789473,175,6,0.07086922474549726
HH Dippenaar (SA),2001-2003,3,42,37.476190476190474,93,44.97,66.07,0.0,14,0.3333333333333333,152,7,0.06675062972292191
KP Pietersen (ENG/ICC),2004-2006,3,27,46.96296296296296,116,60.38,97.16,0.1111111111111111,9,0.3333333333333333,121,34,0.11877394636015326
A Flintoff (ENG),2001-2003,3,43,27.25581395348837,70,33.48,90.57,0.0,9,0.20930232558139536,111,37,0.1143740340030912
DA Warner (AUS),2009-2012,4,34,30.88235294117647,163,30.88,81.83,0.058823529411764705,5,0.14705882352941177,106,13,0.09275136399064692
D Mongia (INDIA),2001-2003,3,41,24.365853658536587,159,27.75,73.13,0.024390243902439025,3,0.07317073170731707,107,6,0.08272327964860908
TLW Cooper (NL),2010-2012,3,19,48.21052631578947,101,53.88,71.00,0.05263157894736842,8,0.42105263157894735,78,4,0.06356589147286822
DA Gunawardene (SL),2001-2003,3,23,28.391304347826086,90,28.39,65.89,0.0,4,0.17391304347826086,72,1,0.07366296670030273
AB Agarkar (INDIA),2001-2003,3,37,11.864864864864865,95,18.29,92.22,0.0,1,0.02702702702702703,42,7,0.10294117647058823
ES Szwarczynski (NL),2006-2008,3,13,30.307692307692307,56,32.83,69.61,0.0,4,0.3076923076923077,40,1,0.07243816254416961
