Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF
Ijaz Ahmed (PAK),1990-1992,3,31,19.483870967741936,102,26.26,74.84,0.03225806451612903,0.06451612903225806,
Imran Nazir (PAK),2002-2004,3,26,23.23076923076923,66,24.16,80.00,0.0,0.15384615384615385,
TM Odoyo (KENYA),1998-2001,4,27,22.14814814814815,53,26.00,75.50,0.0,0.07407407407407407,
D Ramdin (WI),2005-2009,5,43,13.813953488372093,74,19.80,79.41,0.0,0.046511627906976744,
Naeem Islam (BDESH),2008-2010,3,33,16.484848484848484,73,28.63,65.14,0.0,0.030303030303030304,
HH Dippenaar (SA),1999-2001,3,16,33.4375,77,41.15,61.84,0.0,0.3125,
RR Patel (KENYA),2009-2013,5,26,20.26923076923077,92,23.95,65.30,0.0,0.07692307692307693,
AB Agarkar (INDIA),1998-2001,4,47,10.957446808510639,67,16.09,84.70,0.0,0.02127659574468085,
P Utseya (ZIM),2005-2009,5,53,9.679245283018869,68,14.25,53.21,0.0,0.03773584905660377,
TJ Friend (ZIM),2001-2004,4,32,15.96875,91,17.03,78.37,0.0,0.09375,
NLTC Perera (SL),2009-2013,5,39,12.974358974358974,69,15.81,110.48,0.0,0.02564102564102564,
CZ Harris (NZ),1990-1993,4,31,16.032258064516128,68,22.59,61.50,0.0,0.06451612903225806,
GW Flower (ZIM),1992-1994,3,18,27.0,84,28.58,53.28,0.0,0.2777777777777778,
BG Rogers (ZIM),2002-2005,4,15,31.866666666666667,84,31.86,69.37,0.0,0.3333333333333333,
DP Viljoen (ZIM),1997-2001,5,37,12.81081081081081,63,15.29,61.96,0.0,0.05405405405405406,
GJ Whittall (ZIM),1993-1996,4,29,16.20689655172414,70,18.07,55.81,0.0,0.06896551724137931,
Saqlain Mushtaq (PAK),1997-2000,4,51,8.941176470588236,37,13.81,51.29,0.0,0.0,
Azhar Mahmood (PAK),1996-1998,3,36,12.555555555555555,65,16.74,73.85,0.0,0.05555555555555555,
A Flintoff (ENG),1999-2001,3,21,21.428571428571427,84,23.68,83.48,0.0,0.09523809523809523,
HH Streak (ZIM),1994-1998,5,38,11.842105263157896,43,18.00,64.10,0.0,0.0,
Taufeeq Umar (PAK),2001-2005,5,19,23.526315789473685,81,24.83,57.45,0.0,0.15789473684210525,
AN Kervezee (NL),2010-2012,3,15,27.933333333333334,92,29.92,85.33,0.0,0.13333333333333333,
Mehrab Hossain (BDESH),1999-2002,4,14,29.071428571428573,101,29.07,59.07,0.07142857142857142,0.14285714285714285,
GJ Rennie (ZIM),1996-1999,4,22,18.363636363636363,76,22.44,68.82,0.0,0.09090909090909091,
DA Marillier (ZIM),2000-2002,3,28,14.25,56,16.62,72.28,0.0,0.07142857142857142,
RS Kalpage (SL),1992-1994,3,31,12.709677419354838,51,26.26,63.54,0.0,0.03225806451612903,
Farhad Reza (BDESH),2006-2008,3,29,13.448275862068966,50,16.95,64.89,0.0,0.034482758620689655,
DA Miller (SA),2010-2013,4,18,21.27777777777778,67,29.46,101.05,0.0,0.16666666666666666,
SPD Smith (AUS),2010-2013,4,22,17.272727272727273,46,21.11,86.75,0.0,0.0,
Noor Ali Zadran (AFG),2009-2012,4,14,26.5,114,28.53,70.66,0.07142857142857142,0.07142857142857142,
Asghar Stanikzai (AFG),2009-2011,3,17,21.529411764705884,64,24.40,55.28,0.0,0.11764705882352941,
CL Cairns (NZ),1991-1994,4,19,18.94736842105263,70,24.00,73.46,0.0,0.05263157894736842,
Shahriar Hossain (BDESH),1997-2000,4,17,21.176470588235293,95,21.17,54.87,0.0,0.11764705882352941,
WPUJC Vaas (SL),1994-1998,5,43,8.209302325581396,33,13.57,68.27,0.0,0.0,
Harbhajan Singh (INDIA),2001-2003,3,39,8.871794871794872,46,11.53,89.17,0.0,0.0,
SR Watson (AUS),2002-2005,4,20,17.05,77,31.00,68.06,0.0,0.05,
SCJ Broad (ENG),2006-2010,5,37,9.135135135135135,45,14.69,74.12,0.0,0.0,
DL Vettori (NZ),1999-2003,5,47,7.191489361702128,30,10.24,73.79,0.0,0.0,
T Mishra (KENYA),2007-2010,4,11,27.818181818181817,66,34.00,78.86,0.0,0.18181818181818182,
LE Plunkett (ENG),2005-2007,3,24,12.291666666666666,56,21.07,85.26,0.0,0.041666666666666664,
RD Berrington (SCOT),2008-2010,3,14,20.857142857142858,84,22.46,71.74,0.0,0.14285714285714285,
GC Wilson (IRE),2007-2009,3,16,18.125,51,19.33,65.46,0.0,0.125,
RS Sodhi (INDIA),2000-2002,3,14,20.0,67,25.45,73.49,0.0,0.14285714285714285,
Waqar Younis (PAK),1991-1995,5,37,7.4324324324324325,37,10.57,74.32,0.0,0.0,
Al Sahariar (BDESH),1999-2002,4,13,19.923076923076923,62,21.58,52.42,0.0,0.15384615384615385,
MA Vermeulen (ZIM),2000-2003,4,10,25.8,79,32.25,68.80,0.0,0.2,
ADS Fletcher (WI),2008-2010,3,15,17.066666666666666,54,17.06,70.13,0.0,0.13333333333333333,
Alok Kapali (BDESH),2004-2006,3,21,12.0,55,12.60,59.43,0.0,0.047619047619047616,
ST Jayasuriya (SL),1990-1993,4,23,10.695652173913043,34,11.18,74.32,0.0,0.0,
CO Obuya (KENYA),2001-2003,3,22,11.181818181818182,29,12.94,58.85,0.0,0.0,
Tapash Baisya (BDESH),2003-2006,4,30,8.166666666666666,33,11.13,57.37,0.0,0.0,
HH Gibbs (SA),1996-1998,3,14,17.428571428571427,35,17.42,68.15,0.0,0.0,
NS Poonia (SCOT),2006-2009,4,21,11.285714285714286,67,11.28,62.86,0.0,0.047619047619047616,
DO Obuya (KENYA),2001-2003,3,23,9.869565217391305,57,10.80,46.13,0.0,0.043478260869565216,
P Kumar (INDIA),2007-2010,4,24,9.375,54,13.23,85.22,0.0,0.041666666666666664,
Manjural Islam Rana (BDESH),2004-2006,3,17,13.058823529411764,43,17.07,47.84,0.0,0.0,
Aaqib Javed (PAK),1992-1996,5,27,8.037037037037036,45,18.08,68.45,0.0,0.0,
Khaled Mashud (BDESH),1997-1999,3,22,9.681818181818182,53,12.52,52.46,0.0,0.045454545454545456,
Fawad Alam (PAK),2007-2009,3,12,17.5,63,42.00,73.68,0.0,0.08333333333333333,
DC Thomas (WI),2011-2013,3,18,11.61111111111111,37,12.29,62.95,0.0,0.0,
TG Southee (NZ),2008-2012,5,31,6.709677419354839,32,10.94,88.51,0.0,0.0,
DNT Zoysa (SL),1998-2002,5,29,7.103448275862069,32,13.73,105.64,0.0,0.0,
HS Baidwan (CAN),2008-2011,4,16,12.5625,33,22.33,67.00,0.0,0.0,
CK Coventry (ZIM),2003-2006,4,10,19.9,74,19.90,85.77,0.0,0.1,
BC Hollioake (ENG),1998-2001,4,13,15.076923076923077,53,17.81,80.00,0.0,0.07692307692307693,
Mohammad Sami (PAK),2001-2004,4,33,5.909090909090909,23,13.00,61.90,0.0,0.0,
ASA Perera (SL),1998-2001,4,13,15.0,56,17.72,75.87,0.0,0.07692307692307693,
AO Suji (KENYA),1996-1999,4,16,11.625,67,13.28,63.26,0.0,0.0625,
Mohammad Wasim (PAK),1997-2000,4,10,18.5,76,20.55,50.82,0.0,0.1,
WD Parnell (SA),2009-2012,4,13,14.0,49,18.20,74.89,0.0,0.0,
RW Chakabva (ZIM),2008-2011,4,10,17.6,45,19.55,59.45,0.0,0.0,
KS Lokuarachchi (SL),2003-2006,4,13,13.384615384615385,69,15.81,78.02,0.0,0.07692307692307693,
Moin Khan (PAK),1991-1995,5,19,9.157894736842104,20,13.38,78.37,0.0,0.0,
ML Nkala (ZIM),2001-2005,5,19,9.105263157894736,47,11.53,58.44,0.0,0.0,
Usman Limbada (CAN),2010-2013,4,10,17.0,50,18.88,68.82,0.0,0.1,
DR Martyn (AUS),1992-1994,3,10,16.6,51,18.44,79.80,0.0,0.1,
Hasibul Hossain (BDESH),1997-2000,4,20,8.0,21,8.88,74.76,0.0,0.0,
Z Khan (INDIA),2000-2002,3,23,6.956521739130435,32,12.30,76.92,0.0,0.0,
CL White (AUS),2005-2007,3,10,15.7,45,22.42,116.29,0.0,0.0,
MA Ouma (KENYA),2004-2006,3,11,13.636363636363637,49,13.63,44.11,0.0,0.0,
AD Poynter (IRE),2008-2010,3,11,13.545454545454545,78,18.62,56.65,0.0,0.09090909090909091,
Tushar Imran (BDESH),2005-2007,3,15,9.866666666666667,32,9.86,49.66,0.0,0.0,
CS Baugh (WI),2003-2006,4,11,13.272727272727273,29,24.33,81.56,0.0,0.0,
Mushtaq Ahmed (PAK),1990-1993,4,31,4.483870967741935,17,6.61,56.04,0.0,0.0,
KAJ Roach (WI),2008-2012,5,25,5.52,24,11.50,48.59,0.0,0.0,
T Mupariwa (ZIM),2006-2009,4,21,6.523809523809524,33,9.78,52.69,0.0,0.0,
JK Kamande (KENYA),1999-2002,4,11,12.181818181818182,32,19.14,47.85,0.0,0.0,
A Kumble (INDIA),1990-1994,5,21,6.380952380952381,24,10.30,63.20,0.0,0.0,
RS Kaluwitharana (SL),1990-1993,4,13,10.076923076923077,31,11.90,75.72,0.0,0.0,
RJ Trott (BMUDA),2007-2009,3,10,13.0,48,21.66,52.20,0.0,0.0,
AM Blignaut (ZIM),1999-2001,3,12,10.583333333333334,27,12.70,76.50,0.0,0.0,
A Maregwede (ZIM),2003-2005,3,11,11.272727272727273,37,12.40,56.88,0.0,0.0,
JE Taylor (WI),2006-2008,3,18,6.777777777777778,43,11.09,97.60,0.0,0.0,
JEC Franklin (NZ),2001-2004,4,16,7.25,25,8.92,55.23,0.0,0.0,
L Balaji (INDIA),2002-2005,4,15,7.533333333333333,21,12.55,79.57,0.0,0.0,
NB Mahwire (ZIM),2004-2006,3,17,6.647058823529412,22,11.30,47.67,0.0,0.0,
Shafiul Islam (BDESH),2010-2013,4,27,4.037037037037037,24,5.73,55.89,0.0,0.0,
GP Wickramasinghe (SL),1992-1994,3,22,4.7727272727272725,21,7.50,66.45,0.0,0.0,
DCC Borden (BMUDA),2006-2008,3,11,8.909090909090908,24,14.00,50.25,0.0,0.0,
DR Tuffey (NZ),2000-2002,3,21,4.666666666666667,20,9.80,61.63,0.0,0.0,
DJ Nash (NZ),1992-1995,4,12,7.833333333333333,40,10.44,67.62,0.0,0.0,
RP Singh (INDIA),2006-2009,4,17,5.470588235294118,23,9.30,40.08,0.0,0.0,
PM Seelaar (NL),2007-2011,5,16,5.6875,34,11.37,55.15,0.0,0.0,
CRD Fernando (SL),2001-2003,3,23,3.5217391304347827,13,8.10,52.94,0.0,0.0,
ST Finn (ENG),2011-2013,3,12,6.666666666666667,35,13.33,89.88,0.0,0.0,
KD Mills (NZ),2001-2003,3,11,7.181818181818182,23,11.28,46.74,0.0,0.0,
J Srinath (INDIA),1991-1993,3,20,3.75,14,7.50,66.96,0.0,0.0,
SL Malinga (SL),2004-2007,4,17,4.117647058823529,15,7.77,65.42,0.0,0.0,
Shahadat Hossain (BDESH),2006-2010,5,21,3.3333333333333335,16,7.77,55.11,0.0,0.0,
JM Anderson (ENG),2002-2006,5,19,3.6315789473684212,12,6.90,36.50,0.0,0.0,
DT Hondo (ZIM),2001-2003,3,14,4.357142857142857,15,10.16,42.95,0.0,0.0,
C Pringle (NZ),1990-1992,3,15,4.0,18,8.57,64.51,0.0,0.0,
Syed Rasel (BDESH),2005-2008,4,18,3.111111111111111,15,4.66,40.28,0.0,0.0,
Umar Gul (PAK),2006-2008,3,11,5.0,17,9.16,65.47,0.0,0.0,
RAP Nissanka (SL),2001-2003,3,13,4.076923076923077,11,6.62,37.85,0.0,0.0,
M Muralitharan (SL),1993-1996,4,19,2.5789473684210527,8,6.12,55.05,0.0,0.0,
Junaid Khan (PAK),2011-2013,3,16,3.0,25,6.00,51.06,0.0,0.0,
A Nehra (INDIA),2001-2003,3,14,3.357142857142857,24,9.40,59.49,0.0,0.0,
Abdur Razzak (BDESH),2004-2006,3,11,4.090909090909091,21,7.50,70.31,0.0,0.0,
Rubel Hossain (BDESH),2010-2013,4,18,2.388888888888889,15,5.37,56.57,0.0,0.0,
E Otieno (KENYA),2008-2011,4,15,2.6666666666666665,11,4.44,33.61,0.0,0.0,
HK Olonga (ZIM),1996-2000,5,15,2.3333333333333335,11,5.00,36.84,0.0,0.0,
I Sharma (INDIA),2008-2011,4,10,3.4,13,4.25,33.33,0.0,0.0,
MJ Guptill (NZ),2009-2011,3,50,31.44,122,35.72,79.75,0.02,0.22,
Younis Khan (PAK),2000-2002,3,60,25.866666666666667,87,30.43,69.06,0.0,0.18333333333333332,
MS Dhoni (INDIA),2004-2006,3,43,34.116279069767444,183,48.90,100.96,0.046511627906976744,0.18604651162790697,
IR Bell (ENG),2004-2007,4,40,34.4,88,37.18,69.31,0.0,0.25,
KC Sangakkara (SL),2000-2002,3,56,23.428571428571427,85,26.24,69.23,0.0,0.125,
WJ Cronje (SA),1992-1994,3,48,27.0,112,33.23,67.32,0.020833333333333332,0.10416666666666667,
Basit Ali (PAK),1993-1995,3,38,31.13157894736842,127,36.96,76.12,0.02631578947368421,0.23684210526315788,
JN Rhodes (SA),1992-1994,3,47,24.80851063829787,66,29.89,70.92,0.0,0.06382978723404255,
